designer,year,ability,order_count,total_amount,designer_idx,ability_idx
B1102282,2025,网站UI设计,1,75.0,1,120
B1102369,2025,背景墙设计,1,1800.0,2,123
B1102699,2025,其他内容创作,1,300.0,3,46
B1102949,2025,H5设计,1,3300.0,4,25
B1103518,2025,LOGO设计,1,5814.0,5,26
B1104251,2025,电话调查,1,400.0,6,116
B1104252,2025,电话调查,1,400.0,7,116
B1104254,2025,电话调查,1,400.0,8,116
B1104259,2025,电话调查,1,400.0,9,116
B1104260,2025,电话调查,1,400.0,10,116
B1104262,2025,电话调查,1,400.0,11,116
B1104621,2025,APP开发,1,26600.0,12,18
B1104934,2025,手机网站,1,1118.0,13,88
B1104935,2025,门户网站,1,650.0,14,136
B1104951,2025,电商,1,3500.0,15,113
B1105099,2025,定制开发,1,3800.0,16,71
B1105153,2025,APP开发,1,12000.0,17,18
B1105185,2025,定制开发,1,5294.0,18,71
B1106462,2025,APP开发,1,5000.0,19,18
B1106860,2025,网站UI设计,1,2600.0,20,120
B1107185,2025,定制开发,1,3080.0,21,71
B1107426,2025,电话调查,1,400.0,22,116
B1107768,2025,APP开发,1,3000.0,23,18
B1107851,2025,3D建模,1,500.0,24,1
B1108265,2025,其他软件开发,1,2000.0,25,51
B1108626,2025,定制开发,1,1974.0,26,71
B1108981,2025,APP开发,1,500.0,27,18
B1109857,2025,小程序开发,1,300.0,28,77
B1110491,2025,APP开发,1,500.0,29,18
B1110557,2025,H5开发,1,600.0,30,24
B1110615,2025,3D建模,1,2500.0,31,1
B1110616,2025,APP界面设计,1,1500.0,32,20
B1112246,2025,后端开发,1,2800.0,33,61
B1112424,2025,网站UI设计,1,5000.0,34,120
B1112435,2025,APP开发,1,5893.0,35,18
B1112449,2025,APP开发,1,1000.0,36,18
B1112627,2025,APP开发,1,800.0,37,18
B1112868,2025,店铺装修,1,288.0,38,84
B1112911,2025,小程序开发,1,4000.0,39,77
B1113153,2025,APP开发,1,1300.0,40,18
B1113192,2025,企业官网,1,4000.0,41,42
B1113335,2025,APP开发,1,700.0,42,18
B1113555,2025,APP开发,1,500.0,43,18
B1113680,2025,APP开发,1,8800.0,44,18
B1113833,2025,其他软件开发,1,12000.0,45,51
B1113894,2025,APP开发,1,500.0,46,18
B1114307,2025,小程序开发,1,7500.0,47,77
B1114486,2025,定制开发,1,1520.0,48,71
B1114487,2025,定制开发,1,720.0,49,71
B1114662,2025,APP开发,1,1000.0,50,18
B1114876,2025,详情页设计,1,1150.0,51,128
B1115112,2025,后端开发,1,7500.0,52,61
B1115324,2025,定制开发,1,2300.0,53,71
B1115737,2025,店铺装修,1,268.0,54,84
B1115807,2025,门户网站,1,2000.0,55,136
