Designer_ID,Year,Volume,Entropy,Gini
B1102282,2025,0.9999999999999998,3.7004397181410917,8.5401770014789e-18
B1102369,2025,1.0,4.906890595608518,3.70074330439489e-18
B1103518,2025,0.9999999999999999,8.288167034050012,0.18564537283569849
B1104621,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1104934,2025,1.0,0.0,1.0
B1104935,2025,1.0,5.532290312304675,0.16773831998881786
B1105099,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1105153,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1105185,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1106462,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1106860,2025,0.9999999999999998,3.7004397181410917,8.5401770014789e-18
B1107185,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1107768,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1107851,2025,0.9999999999999998,3.664497779200461,0.0659340650769231
B1108265,2025,1.0,6.385845790516957,0.04282881327957731
B1108626,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1108981,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1109857,2025,0.9999999999999998,8.6852560333442,0.17977588755868157
B1110491,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1110557,2025,1.0,4.713396587701238,0.3343434233101013
B1110615,2025,0.9999999999999998,3.664497779200461,0.0659340650769231
B1110616,2025,1.0,3.807763576417195,0.10980391992156867
B1112246,2025,0.9999999999999999,2.584962500721156,0.0
B1112424,2025,0.9999999999999998,3.7004397181410917,8.5401770014789e-18
B1112435,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1112449,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1112627,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1112911,2025,0.9999999999999998,8.6852560333442,0.17977588755868157
B1113153,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1113192,2025,0.9999999999999998,2.8073549220576037,1.5860328812194222e-17
B1113335,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1113555,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1113680,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1113833,2025,1.0,6.385845790516957,0.04282881327957731
B1113894,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1114307,2025,0.9999999999999998,8.6852560333442,0.17977588755868157
B1114486,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1114487,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1114662,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1114876,2025,1.0,5.114369445886758,0.026984126039682577
B1115112,2025,0.9999999999999999,2.584962500721156,0.0
B1115324,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1115807,2025,1.0,5.532290312304675,0.16773831998881786
B1115816,2025,1.0000000000000002,4.321928094887362,0.0
B1115819,2025,1.0000000000000002,4.321928094887362,0.0
B1115820,2025,1.0000000000000002,4.321928094887362,0.0
B1115821,2025,0.9999999999999998,4.436605434317883,0.041501975371541516
B1115824,2025,0.9999999999999998,4.436605434317883,0.041501975371541516
B1115825,2025,0.9999999999999998,4.436605434317883,0.041501975371541516
B1115849,2025,1.0,2.3219280948873626,2.2204460381480827e-17
B1115853,2025,1.0000000000000002,4.297079327540664,0.04523809433333334
B1115854,2025,1.0000000000000002,4.297079327540664,0.04523809433333334
B1115901,2025,1.0,4.906890595608518,3.70074330439489e-18
B1115917,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1116260,2025,1.0,2.0,0.0
B1116272,2025,1.0000000000000002,6.579294285486099,0.010201889054982914
B1116353,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1116393,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1116480,2025,1.0,2.3219280948873626,2.2204460381480827e-17
B1116484,2025,0.9999999999999997,4.501629167387827,0.03985507154710147
B1116485,2025,0.9999999999999997,4.501629167387827,0.03985507154710147
B1116487,2025,0.9999999999999998,4.436605434317883,0.041501975371541516
B1116488,2025,0.9999999999999998,4.436605434317883,0.041501975371541516
B1116682,2025,0.9999999999999998,8.6852560333442,0.17977588755868157
B1116809,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1116845,2025,0.9999999999999999,8.288167034050012,0.18564537283569849
B1116883,2025,0.9999999999999998,8.6852560333442,0.17977588755868157
B1117028,2025,0.9999999999999998,8.6852560333442,0.17977588755868157
B1117114,2025,1.0,8.026504519316292,0.2908658314727603
B1117149,2025,1.0,5.0,0.0
B1117179,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1117213,2025,1.0,3.1699250014423126,0.0
B1117416,2025,0.9999999999999999,8.288167034050012,0.18564537283569849
B1117590,2025,0.9999999999999999,7.180355277097591,0.08850249281328525
B1117657,2025,0.9999999999999998,3.3787834934861753,0.15584415412987013
B1117658,2025,0.9999999999999999,8.288167034050012,0.18564537283569849
