Source,Target,Type
B1034881,LOGO设计,完成
A1035100,H5开发,发布
B1035100,H5开发,完成
A1035218,嵌入式软件,发布
B1035218,嵌入式软件,完成
A1035414,LOGO设计,发布
B1035414,LOGO设计,完成
A1035537,PPT设计,发布
B1035537,PPT设计,完成
A1035570,APP开发,发布
B1035570,APP开发,完成
A1035601,小程序开发,发布
B1035601,小程序开发,完成
A1035603,H5开发,发布
B1035603,H5开发,完成
A1035605,小程序开发,发布
B1035605,小程序开发,完成
A1035610,排版设计,发布
B1035610,排版设计,完成
A1035830,彩页设计,发布
B1035830,彩页设计,完成
A1035836,APP开发,发布
B1035836,APP开发,完成
A1035838,APP开发,发布
B1035838,APP开发,完成
A1035857,LOGO设计,发布
B1035857,LOGO设计,完成
A1035878,LOGO设计,发布
B1035878,LOGO设计,完成
A1035886,剪辑服务,发布
B1035886,剪辑服务,完成
A1036000,手机网站,发布
B1036000,手机网站,完成
A1036029,排版设计,发布
B1036029,排版设计,完成
A1036091,VI设计,发布
B1036091,VI设计,完成
A1036122,VI设计,发布
B1036122,VI设计,完成
A1036237,其他软件开发,发布
B1036237,其他软件开发,完成
A1036272,包装设计,发布
B1036272,包装设计,完成
A1036274,LOGO设计,发布
B1036274,LOGO设计,完成
A1036276,画册设计,发布
B1036276,画册设计,完成
A1036280,手游开发,发布
B1036280,手游开发,完成
A1036285,其他软件开发,发布
B1036285,其他软件开发,完成
A1036388,APP开发,发布
B1036388,APP开发,完成
A1036460,包装设计,发布
B1036460,包装设计,完成
A1036518,LOGO设计,发布
B1036518,LOGO设计,完成
A1036521,包装设计,发布
B1036521,包装设计,完成
A1036524,画册设计,发布
B1036524,画册设计,完成
A1036535,画册设计,发布
B1036535,画册设计,完成
A1036537,彩页设计,发布
B1036537,彩页设计,完成
A1036793,书籍装帧,发布
B1036793,书籍装帧,完成
A1036841,LOGO设计,发布
B1036841,LOGO设计,完成
A1036864,小程序开发,发布
B1036864,小程序开发,完成
A1036873,SAAS软件,发布
B1036873,SAAS软件,完成
A1036949,LOGO设计,发布
B1036949,LOGO设计,完成
A1036950,包装设计,发布
B1036950,包装设计,完成
A1036952,画册设计,发布
B1036952,画册设计,完成
A1036953,喷绘写真制作,发布
B1036953,喷绘写真制作,完成
A1036967,小程序开发,发布
B1036967,小程序开发,完成
A1036975,VI设计,发布
B1036975,VI设计,完成
A1037006,定制开发,发布
B1037006,定制开发,完成
A1037177,餐饮饮食,发布
B1037177,餐饮饮食,完成
A1037181,新房装修,发布
B1037181,新房装修,完成
A1037377,LOGO设计,发布
B1037377,LOGO设计,完成
A1037378,包装设计,发布
B1037378,包装设计,完成
A1037379,画册设计,发布
B1037379,画册设计,完成
A1037380,喷绘写真制作,发布
B1037380,喷绘写真制作,完成
A1037445,书籍装帧,发布
B1037445,书籍装帧,完成
A1037504,英语,发布
B1037504,英语,完成
A1037659,LOGO设计,发布
B1037659,LOGO设计,完成
A1037661,包装设计,发布
B1037661,包装设计,完成
A1037663,喷绘写真制作,发布
B1037663,喷绘写真制作,完成
A1037707,其他软件开发,发布
B1037707,其他软件开发,完成
A1037792,H5开发,发布
B1037792,H5开发,完成
A1037793,H5开发,发布
B1037793,H5开发,完成
A1037835,其他网站,发布
B1037835,其他网站,完成
A1037984,门户网站,发布
