Source,Target,Type
网站二次开发,任务编号：1038317,属于
VI设计,任务编号：1038322,属于
APP界面设计,任务编号：1038592,属于
其他网站,任务编号：1038611,属于
游戏其他,任务编号：1038813,属于
LOGO设计,任务编号：1039043,属于
小程序开发,任务编号：1039195,属于
LOGO设计,任务编号：1039242,属于
包装设计,任务编号：1039243,属于
海报设计,任务编号：1039252,属于
宣传册设计,任务编号：1039253,属于
其他宣传品设计,任务编号：1039256,属于
嵌入式软件,任务编号：1039328,属于
书籍装帧,任务编号：1039569,属于
包装设计,任务编号：1039591,属于
小程序开发,任务编号：1039615,属于
VR场景,任务编号：1039626,属于
抖音代运营,任务编号：1039720,属于
抖音代运营,任务编号：1039721,属于
抖音代运营,任务编号：1039722,属于
抖音代运营,任务编号：1039724,属于
抖音代运营,任务编号：1039725,属于
抖音代运营,任务编号：1039726,属于
抖音代运营,任务编号：1039727,属于
抖音代运营,任务编号：1039728,属于
抖音代运营,任务编号：1039729,属于
三维动画,任务编号：1039731,属于
三维动画,任务编号：1039732,属于
三维动画,任务编号：1039733,属于
三维动画,任务编号：1039734,属于
三维动画,任务编号：1039737,属于
三维动画,任务编号：1039738,属于
动画制作,任务编号：1039739,属于
动画制作,任务编号：1039740,属于
动画制作,任务编号：1039763,属于
动画制作,任务编号：1039764,属于
动画制作,任务编号：1039765,属于
动画制作,任务编号：1039767,属于
动画制作,任务编号：1039768,属于
动画制作,任务编号：1039769,属于
动画制作,任务编号：1039770,属于
产品视频,任务编号：1039771,属于
产品视频,任务编号：1039773,属于
产品视频,任务编号：1039775,属于
产品视频,任务编号：1039778,属于
产品视频,任务编号：1039779,属于
产品视频,任务编号：1039780,属于
广告片/MV,任务编号：1039784,属于
广告片/MV,任务编号：1039831,属于
广告片/MV,任务编号：1039832,属于
产品视频,任务编号：1039833,属于
企业宣传片,任务编号：1039841,属于
企业宣传片,任务编号：1039842,属于
视频定制,任务编号：1039843,属于
视频定制,任务编号：1039844,属于
视频定制,任务编号：1039846,属于
视频定制,任务编号：1039847,属于
视频定制,任务编号：1039848,属于
视频定制,任务编号：1039851,属于
视频定制,任务编号：1039852,属于
创意短视频,任务编号：1039853,属于
创意短视频,任务编号：1039858,属于
创意短视频,任务编号：1039861,属于
创意短视频,任务编号：1039863,属于
创意短视频,任务编号：1039864,属于
创意短视频,任务编号：1039865,属于
抖音视频,任务编号：1039866,属于
标签设计,任务编号：1039877,属于
抖音视频,任务编号：1039885,属于
抖音视频,任务编号：1039886,属于
抖音视频,任务编号：1039887,属于
抖音视频,任务编号：1039889,属于
抖音视频,任务编号：1039890,属于
抖音视频,任务编号：1039891,属于
抖音视频,任务编号：1039892,属于
抖音视频,任务编号：1039893,属于
抖音视频,任务编号：1039894,属于
短视频营销,任务编号：1039898,属于
短视频营销,任务编号：1039902,属于
短视频营销,任务编号：1039903,属于
直播卖货,任务编号：1039904,属于
直播卖货,任务编号：1039906,属于
直播卖货,任务编号：1039907,属于
直播卖货,任务编号：1039908,属于
直播卖货,任务编号：1039909,属于
直播卖货,任务编号：1039910,属于
直播卖货,任务编号：1039911,属于
直播卖货,任务编号：1039912,属于
直播卖货,任务编号：1039913,属于
专题片制作,任务编号：1039914,属于
专题片制作,任务编号：1039915,属于
专题片制作,任务编号：1039916,属于
专题片制作,任务编号：1039917,属于
专题片制作,任务编号：1039918,属于
专题片制作,任务编号：1039919,属于
专题片制作,任务编号：1039920,属于
专题片制作,任务编号：1039921,属于
专题片制作,任务编号：1039922,属于
专题片制作,任务编号：1039923,属于
剪辑服务,任务编号：1039924,属于
剪辑服务,任务编号：1039925,属于
剪辑服务,任务编号：1039926,属于
剪辑服务,任务编号：1039927,属于
剪辑服务,任务编号：1039928,属于
剪辑服务,任务编号：1039929,属于
剪辑服务,任务编号：1039930,属于
剪辑服务,任务编号：1039931,属于
剪辑服务,任务编号：1039932,属于
剪辑服务,任务编号：1039933,属于
产品拍摄,任务编号：1039934,属于
产品拍摄,任务编号：1039935,属于
产品拍摄,任务编号：1039936,属于
产品拍摄,任务编号：1039937,属于
产品拍摄,任务编号：1039938,属于
产品拍摄,任务编号：1039939,属于
产品拍摄,任务编号：1039940,属于
产品拍摄,任务编号：1039941,属于
产品拍摄,任务编号：1039942,属于
产品拍摄,任务编号：1039943,属于
VR/AR/MR,任务编号：1039944,属于
VR/AR/MR,任务编号：1039948,属于
VR/AR/MR,任务编号：1039951,属于
VR/AR/MR,任务编号：1039952,属于
VR/AR/MR,任务编号：1039953,属于
APP开发,任务编号：1039963,属于
LOGO设计,任务编号：1040013,属于
包装设计,任务编号：1040015,属于
画册设计,任务编号：1040017,属于
喷绘写真制作,任务编号：1040018,属于
画册设计,任务编号：1040142,属于
其他网站,任务编号：1040275,属于
LOGO设计,任务编号：1040340,属于
喷绘写真制作,任务编号：1040428,属于
包装设计,任务编号：1040429,属于
LOGO设计,任务编号：1040430,属于
PPT设计,任务编号：1040432,属于
画册设计,任务编号：1040609,属于
喷绘写真制作,任务编号：1040610,属于
LOGO设计,任务编号：1040612,属于
包装设计,任务编号：1040613,属于
多媒体AI,任务编号：1040665,属于
IT解决方案,任务编号：1040674,属于
包装设计,任务编号：1040694,属于
商城建设,任务编号：1040701,属于
APP开发,任务编号：1040807,属于
VI设计,任务编号：1040826,属于
短视频营销,任务编号：1040870,属于
定制开发,任务编号：1040884,属于
宣传单设计,任务编号：1040915,属于
其他宣传品设计,任务编号：1040916,属于
吉祥物设计,任务编号：1040921,属于
VI设计,任务编号：1040922,属于
H5开发,任务编号：1040990,属于
视频推广,任务编号：1041096,属于
排版设计,任务编号：1041104,属于
包装设计,任务编号：1041212,属于
产品外观设计,任务编号：1041256,属于
包装设计,任务编号：1041272,属于
电商网站,任务编号：1041296,属于
纪录片,任务编号：1041302,属于
剧本创作,任务编号：1041303,属于
淘宝视频,任务编号：1041304,属于
Vlog/微电影,任务编号：1041305,属于
其他短视频,任务编号：1041306,属于
小红书营销,任务编号：1041317,属于
二维动画,任务编号：1041318,属于
动画制作,任务编号：1041319,属于
GIF动画,任务编号：1041320,属于
产品拍摄,任务编号：1041321,属于
PS修图,任务编号：1041322,属于
广告摄影,任务编号：1041323,属于
VR效果图,任务编号：1041324,属于
3D效果图,任务编号：1041325,属于
3D视频,任务编号：1041326,属于
企业宣传片,任务编号：1041327,属于
广告片/MV,任务编号：1041328,属于
产品视频,任务编号：1041329,属于
视频定制,任务编号：1041330,属于
创意短视频,任务编号：1041331,属于
抖音视频,任务编号：1041332,属于
纪录片,任务编号：1041333,属于
淘宝视频,任务编号：1041335,属于
小红书视频,任务编号：1041336,属于
Vlog/微电影,任务编号：1041337,属于
其他短视频,任务编号：1041338,属于
小红书营销,任务编号：1041339,属于
二维动画,任务编号：1041340,属于
动画制作,任务编号：1041341,属于
GIF动画,任务编号：1041342,属于
PS修图,任务编号：1041344,属于
VR效果图,任务编号：1041346,属于
3D效果图,任务编号：1041347,属于
3D视频,任务编号：1041348,属于
广告片/MV,任务编号：1041350,属于
产品视频,任务编号：1041351,属于
视频定制,任务编号：1041352,属于
创意短视频,任务编号：1041353,属于
抖音视频,任务编号：1041354,属于
短视频营销,任务编号：1041355,属于
直播卖货,任务编号：1041356,属于
产品拍摄,任务编号：1041358,属于
剪辑服务,任务编号：1041361,属于
专题片制作,任务编号：1041362,属于
脚本开发,任务编号：1041397,属于
LOGO设计,任务编号：1041438,属于
书籍装帧,任务编号：1041600,属于
VI设计,任务编号：1041627,属于
纪录片,任务编号：1041641,属于
剧本创作,任务编号：1041642,属于
淘宝视频,任务编号：1041643,属于
小红书视频,任务编号：1041644,属于
Vlog/微电影,任务编号：1041645,属于
其他短视频,任务编号：1041646,属于
二维动画,任务编号：1041647,属于
GIF动画,任务编号：1041649,属于
产品拍摄,任务编号：1041650,属于
PS修图,任务编号：1041651,属于
产品视频,任务编号：1041654,属于
创意短视频,任务编号：1041656,属于
抖音视频,任务编号：1041657,属于
短视频营销,任务编号：1041658,属于
直播卖货,任务编号：1041659,属于
抖音代运营,任务编号：1041660,属于
三维动画,任务编号：1041661,属于
纪录片,任务编号：1041662,属于
剧本创作,任务编号：1041663,属于
淘宝视频,任务编号：1041664,属于
小红书视频,任务编号：1041665,属于
Vlog/微电影,任务编号：1041666,属于
其他短视频,任务编号：1041667,属于
小红书营销,任务编号：1041668,属于
二维动画,任务编号：1041669,属于
动画制作,任务编号：1041670,属于
GIF动画,任务编号：1041671,属于
产品拍摄,任务编号：1041672,属于
PS修图,任务编号：1041673,属于
广告摄影,任务编号：1041674,属于
VR效果图,任务编号：1041675,属于
3D效果图,任务编号：1041676,属于
3D视频,任务编号：1041677,属于
产品视频,任务编号：1041680,属于
视频定制,任务编号：1041681,属于
创意短视频,任务编号：1041682,属于
抖音视频,任务编号：1041683,属于
短视频营销,任务编号：1041684,属于
产品拍摄,任务编号：1041687,属于
动画制作,任务编号：1041689,属于
剪辑服务,任务编号：1041690,属于
专题片制作,任务编号：1041691,属于
VR/AR/MR,任务编号：1041692,属于
其他软件开发,任务编号：1041855,属于
企业官网,任务编号：1041916,属于
企业宣传片,任务编号：1041922,属于
交互设计,任务编号：1042044,属于
手游开发,任务编号：1042093,属于
产品视频,任务编号：1042158,属于
创意短视频,任务编号：1042159,属于
创意短视频,任务编号：1042160,属于
动画制作,任务编号：1042161,属于
动画制作,任务编号：1042162,属于
抖音代运营,任务编号：1042163,属于
抖音代运营,任务编号：1042164,属于
抖音视频,任务编号：1042165,属于
抖音视频,任务编号：1042166,属于
二维动画,任务编号：1042167,属于
二维动画,任务编号：1042168,属于
剪辑服务,任务编号：1042169,属于
剪辑服务,任务编号：1042170,属于
企业宣传片,任务编号：1042171,属于
企业宣传片,任务编号：1042172,属于
纪录片,任务编号：1042173,属于
剧本创作,任务编号：1042174,属于
淘宝视频,任务编号：1042175,属于
小红书视频,任务编号：1042176,属于
Vlog/微电影,任务编号：1042177,属于
其他短视频,任务编号：1042178,属于
小红书营销,任务编号：1042179,属于
二维动画,任务编号：1042180,属于
动画制作,任务编号：1042181,属于
GIF动画,任务编号：1042182,属于
产品拍摄,任务编号：1042183,属于
PS修图,任务编号：1042184,属于
广告摄影,任务编号：1042185,属于
VR效果图,任务编号：1042186,属于
产品视频,任务编号：1042190,属于
视频定制,任务编号：1042191,属于
创意短视频,任务编号：1042192,属于
抖音视频,任务编号：1042193,属于
短视频营销,任务编号：1042194,属于
抖音代运营,任务编号：1042196,属于
剪辑服务,任务编号：1042200,属于
专题片制作,任务编号：1042201,属于
VR/AR/MR,任务编号：1042202,属于
3D视频,任务编号：1042242,属于
文学创作,任务编号：1042278,属于
商业提案,任务编号：1042350,属于
手机网站,任务编号：1042422,属于
画册设计,任务编号：1042633,属于
小程序开发,任务编号：1042673,属于
动画制作,任务编号：1042685,属于
产品视频,任务编号：1042687,属于
淘宝视频,任务编号：1042701,属于
3D效果图,任务编号：1042702,属于
直播卖货,任务编号：1042703,属于
其他短视频,任务编号：1042704,属于
PS修图,任务编号：1042705,属于
创意短视频,任务编号：1042707,属于
创意短视频,任务编号：1042708,属于
专题片制作,任务编号：1042711,属于
广告片/MV,任务编号：1042722,属于
LOGO设计,任务编号：1042839,属于
抖音视频,任务编号：1043222,属于
抖音视频,任务编号：1043224,属于
淘宝视频,任务编号：1043229,属于
其他短视频,任务编号：1043230,属于
3D效果图,任务编号：1043231,属于
直播卖货,任务编号：1043232,属于
PS修图,任务编号：1043236,属于
三维动画,任务编号：1043240,属于
专题片制作,任务编号：1043248,属于
其他网站,任务编号：1043533,属于
微信代运营,任务编号：1043569,属于
动画制作,任务编号：1043645,属于
抖音视频,任务编号：1043655,属于
抖音视频,任务编号：1043656,属于
抖音视频,任务编号：1043657,属于
其他短视频,任务编号：1043658,属于
3D效果图,任务编号：1043659,属于
淘宝视频,任务编号：1043660,属于
淘宝视频,任务编号：1043661,属于
淘宝视频,任务编号：1043662,属于
直播卖货,任务编号：1043666,属于
PS修图,任务编号：1043667,属于
广告片/MV,任务编号：1043684,属于
LOGO设计,任务编号：1043785,属于
小程序开发,任务编号：1043796,属于
包装设计,任务编号：1043887,属于
H5开发,任务编号：1043966,属于
书籍装帧,任务编号：1043975,属于
APP开发,任务编号：1044101,属于
LOGO设计,任务编号：1044139,属于
定制开发,任务编号：1044211,属于
PPT设计,任务编号：1044236,属于
运维服务,任务编号：1044271,属于
包装设计,任务编号：1044302,属于
画册设计,任务编号：1044303,属于
LOGO设计,任务编号：1044319,属于
APP开发,任务编号：1044384,属于
APP开发,任务编号：1044396,属于
动画制作,任务编号：1044434,属于
动画制作,任务编号：1044435,属于
动画制作,任务编号：1044436,属于
抖音视频,任务编号：1044445,属于
抖音视频,任务编号：1044446,属于
抖音视频,任务编号：1044447,属于
淘宝视频,任务编号：1044448,属于
淘宝视频,任务编号：1044449,属于
3D效果图,任务编号：1044450,属于
PS修图,任务编号：1044451,属于
直播卖货,任务编号：1044452,属于
其他短视频,任务编号：1044453,属于
创意短视频,任务编号：1044457,属于
专题片制作,任务编号：1044458,属于
二维动画,任务编号：1044463,属于
二维动画,任务编号：1044465,属于
三维动画,任务编号：1044467,属于
广告片/MV,任务编号：1044468,属于
