ID,Name,能力类型,type,[z]
安全服务,安全服务,能力,能力,2
企业官网,企业官网,能力,能力,2
LOGO设计,LOGO设计,能力,能力,2
排版设计,排版设计,能力,能力,2
包装设计,包装设计,能力,能力,2
书籍装帧,书籍装帧,能力,能力,2
小程序开发,小程序开发,能力,能力,2
画册设计,画册设计,能力,能力,2
APP开发,APP开发,能力,能力,2
门户网站,门户网站,能力,能力,2
PPT设计,PPT设计,能力,能力,2
其他软件开发,其他软件开发,能力,能力,2
宣传册设计,宣传册设计,能力,能力,2
H5开发,H5开发,能力,能力,2
手游开发,手游开发,能力,能力,2
脚本开发,脚本开发,能力,能力,2
定制开发,定制开发,能力,能力,2
其他工具软件,其他工具软件,能力,能力,2
响应式网站,响应式网站,能力,能力,2
产品外观设计,产品外观设计,能力,能力,2
商城建设,商城建设,能力,能力,2
电商网站,电商网站,能力,能力,2
表情设计,表情设计,能力,能力,2
三维动画,三维动画,能力,能力,2
彩页设计,彩页设计,能力,能力,2
VI设计,VI设计,能力,能力,2
企业宣传片,企业宣传片,能力,能力,2
商业空间,商业空间,能力,能力,2
SAAS软件,SAAS软件,能力,能力,2
运维服务,运维服务,能力,能力,2
详情页设计,详情页设计,能力,能力,2
其他网站,其他网站,能力,能力,2
APP界面设计,APP界面设计,能力,能力,2
商业提案,商业提案,能力,能力,2
网站二次开发,网站二次开发,能力,能力,2
剪辑服务,剪辑服务,能力,能力,2
手机网站,手机网站,能力,能力,2
封面设计,封面设计,能力,能力,2
海报设计,海报设计,能力,能力,2
嵌入式软件,嵌入式软件,能力,能力,2
喷绘写真制作,喷绘写真制作,能力,能力,2
餐饮饮食,餐饮饮食,能力,能力,2
新房装修,新房装修,能力,能力,2
英语,英语,能力,能力,2
产品原型设计,产品原型设计,能力,能力,2
游戏其他,游戏其他,能力,能力,2
其他宣传品设计,其他宣传品设计,能力,能力,2
VR场景,VR场景,能力,能力,2
抖音代运营,抖音代运营,能力,能力,2
动画制作,动画制作,能力,能力,2
产品视频,产品视频,能力,能力,2
广告片/MV,广告片/MV,能力,能力,2
视频定制,视频定制,能力,能力,2
创意短视频,创意短视频,能力,能力,2
抖音视频,抖音视频,能力,能力,2
标签设计,标签设计,能力,能力,2
短视频营销,短视频营销,能力,能力,2
直播卖货,直播卖货,能力,能力,2
专题片制作,专题片制作,能力,能力,2
产品拍摄,产品拍摄,能力,能力,2
VR/AR/MR,VR/AR/MR,能力,能力,2
多媒体AI,多媒体AI,能力,能力,2
IT解决方案,IT解决方案,能力,能力,2
宣传单设计,宣传单设计,能力,能力,2
吉祥物设计,吉祥物设计,能力,能力,2
视频推广,视频推广,能力,能力,2
纪录片,纪录片,能力,能力,2
剧本创作,剧本创作,能力,能力,2
淘宝视频,淘宝视频,能力,能力,2
Vlog/微电影,Vlog/微电影,能力,能力,2
其他短视频,其他短视频,能力,能力,2
小红书营销,小红书营销,能力,能力,2
二维动画,二维动画,能力,能力,2
GIF动画,GIF动画,能力,能力,2
PS修图,PS修图,能力,能力,2
广告摄影,广告摄影,能力,能力,2
VR效果图,VR效果图,能力,能力,2
3D效果图,3D效果图,能力,能力,2
3D视频,3D视频,能力,能力,2
小红书视频,小红书视频,能力,能力,2
交互设计,交互设计,能力,能力,2
文学创作,文学创作,能力,能力,2
微信代运营,微信代运营,能力,能力,2
产品推广,产品推广,能力,能力,2
插画设计,插画设计,能力,能力,2
数据采集,数据采集,能力,能力,2
模板建站,模板建站,能力,能力,2
网站UI设计,网站UI设计,能力,能力,2
系统工具,系统工具,能力,能力,2
图像识别,图像识别,能力,能力,2
API接口,API接口,能力,能力,2
更多场景定制,更多场景定制,能力,能力,2
微信开发,微信开发,能力,能力,2
其他工业设计,其他工业设计,能力,能力,2
电话调查,电话调查,能力,能力,2
淘宝/天猫代运营,淘宝/天猫代运营,能力,能力,2
整合营销,整合营销,能力,能力,2
前端开发,前端开发,能力,能力,2
后端开发,后端开发,能力,能力,2
动漫其他,动漫其他,能力,能力,2
店招设计,店招设计,能力,能力,2
3D建模,3D建模,能力,能力,2
测试服务,测试服务,能力,能力,2
软件UI设计,软件UI设计,能力,能力,2
ERP系统,ERP系统,能力,能力,2
采集工具,采集工具,能力,能力,2
H5设计,H5设计,能力,能力,2
