Source,Target,Transaction_Price,Publication_Time,Type
lv2271,数据采集,600.0,2023-08-07,发布
lxg1658,图像识别,5000.0,2023-06-17,发布
o6173****0b6d8,数据采集,900.0,2023-02-12,发布
水上景色,图像识别,25000.0,2023-12-08,发布
水上景色,图像识别,15000.0,2023-12-08,发布
vitorru,图像识别,15000.0,2023-12-07,发布
丞相xseQp,数据存储,12000.0,2023-10-26,发布
k9388****15,多媒体AI,27200.0,2023-07-19,发布
lxg1658,人脸识别,800.0,2023-04-27,发布
威赞1IE8P,其他人工智能,1000.0,2023-04-15,发布
威风志XpZby,公司注册,200.0,2023-10-09,发布
风速阁xwaP3,商标注册,1000.0,2023-07-29,发布
o5c442c3cce6be,其他软件开发,5000.0,2023-12-28,发布
有让科技,采集工具,6000.0,2023-12-27,发布
o5d5d04d0c4800,定制开发,4500.0,2023-12-26,发布
o607849fe77dc6,前端开发,900.0,2023-12-26,发布
际尊服RnPJe,网站二次开发,200.0,2023-12-25,发布
飞莱ocHgy,其他软件开发,1400.0,2023-12-25,发布
集创bfXSb,小程序开发,1000.0,2023-12-24,发布
威峰FexxY,APP开发,5000.0,2023-12-22,发布
o5fba71af10ebf,APP开发,2000.0,2023-12-20,发布
威联NKDYU,APP开发,8000.0,2023-12-20,发布
志云海,定制开发,3000.0,2023-12-19,发布
圈圈12,采集工具,6400.0,2023-12-18,发布
爵内特8o568,脚本开发,2000.0,2023-12-18,发布
威服mmxtH,脚本开发,14500.0,2023-12-15,发布
k1583****99,小程序开发,3800.0,2023-12-13,发布
思爱威88Zt6,企业官网,800.0,2023-12-11,发布
优创FxWvr,APP开发,9120.0,2023-12-10,发布
k1780****80,小程序开发,2000.0,2023-12-05,发布
o5a709bb71f7be,APP开发,13500.0,2023-12-04,发布
k1882****49,小程序开发,3000.0,2023-12-04,发布
安心行,其他软件开发,22000.0,2023-12-04,发布
k3604****52,小程序开发,3000.0,2023-11-30,发布
青灵,网站二次开发,400.0,2023-11-30,发布
优汇Myzwy,小程序开发,5700.0,2023-11-28,发布
领航QNnnb,小程序开发,300.0,2023-11-27,发布
o60dc7cd239bca,定制开发,3500.0,2023-11-27,发布
威赞9RVcI,其他软件开发,2500.0,2023-11-27,发布
威风志OHuPX,采集工具,20000.0,2023-11-26,发布
HB784****96,商城建设,18000.0,2023-11-23,发布
k7999****55,小程序开发,19920.0,2023-11-23,发布
o5b079e1b29b85,小程序开发,300.0,2023-11-23,发布
创客汇KobOR,微信开发,4500.0,2023-11-14,发布
k9295****90,小程序开发,3000.0,2023-11-13,发布
图腾lsy,嵌入式软件,6000.0,2023-11-13,发布
k1810****36,小程序开发,5000.0,2023-11-13,发布
助威通5CbVO,APP开发,3000.0,2023-11-10,发布
北山大叔,网站二次开发,3500.0,2023-11-07,发布
聚佳尚美gfmh0,APP开发,2000.0,2023-11-04,发布
k2378****66,游戏建模,1500.0,2023-11-05,发布
k7191****87,小程序开发,3000.0,2023-11-03,发布
威高59Lei,其他软件开发,1000.0,2023-11-03,发布
k1591****12,小程序开发,2500.0,2023-11-02,发布
o5b07****21056,小程序开发,800.0,2023-11-01,发布
潮威8VckA,企业官网,1500.0,2023-11-01,发布
威品堂cYdIh,小程序开发,8000.0,2023-10-31,发布
mf151****8336,APP开发,2400.0,2023-10-30,发布
威客特NWp3K,APP开发,800.0,2023-10-29,发布
k6794****72,小程序开发,3000.0,2023-10-25,发布
k6794****72,小程序开发,5750.0,2023-10-24,发布
丞相kN9ui,响应式网站,5000.0,2023-10-24,发布
A友森联创,H5开发,500.0,2023-10-23,发布
深圳市千百炼科技,游戏其他,7000.0,2023-10-23,发布
威锋客nbPTl,小程序开发,6000.0,2023-10-22,发布
威尊享SCbEQ,小程序开发,3000.0,2023-10-19,发布
威慑软件开发工作室,网站UI设计,300.0,2023-10-19,发布
a8182****a,网站UI设计,400.0,2023-10-16,发布
k2739****20,APP开发,3800.0,2023-10-16,发布
o603c490be622a,其他网站,5000.0,2023-10-16,发布
k8375****88,小程序开发,5120.0,2023-10-16,发布
专客cWv8y,前端开发,700.0,2023-10-11,发布
o5b87f826ee758,小程序开发,2400.0,2023-10-09,发布
o5b39e9102f364,其他网站,3180.0,2023-10-08,发布
稻草人不是人,网站UI设计,1000.0,2023-10-07,发布
云风gogo,APP开发,24000.0,2023-10-07,发布
唯派通BCZrk,其他软件开发,18000.0,2023-10-07,发布
z8292****,软件UI设计,1200.0,2023-09-30,发布
德人,H5开发,2000.0,2023-09-28,发布
顶服YH21m,定制开发,10000.0,2023-09-27,发布
kevin1779,软件UI设计,500.0,2023-09-25,发布
威联U75w3,APP开发,8000.0,2023-09-25,发布
a8182****a,网站UI设计,400.0,2023-09-25,发布
o5d9d23ec527c0,APP开发,1000.0,2023-09-25,发布
寻找软件的大哥,后端开发,5000.0,2023-09-24,发布
集创QviWy,其他软件开发,1000.0,2023-09-22,发布
k3430****90,APP开发,10000.0,2023-09-22,发布
威品t7Wh7,网站UI设计,3500.0,2023-09-21,发布
dearxin8,小程序开发,4000.0,2023-09-21,发布
k5186****99,小程序开发,5000.0,2023-09-20,发布
顶服p5F5U,定制开发,13820.0,2023-09-20,发布
威惠创FQOLW,前端开发,3000.0,2023-09-20,发布
java项目及UI,测试服务,1000.0,2023-09-18,发布
雅服Bb2W4,H5开发,7500.0,2023-09-18,发布
山西图灵未来,小程序开发,1000.0,2023-09-17,发布
威旺gIlwz,网站二次开发,3000.0,2023-09-15,发布
视频剪辑师H,其他软件开发,3000.0,2023-09-14,发布
k2494****32,小程序开发,239.0,2023-09-06,发布
居多牧KMsEQ,企业官网,2500.0,2023-09-05,发布
威高59Lei,网站二次开发,2200.0,2023-09-02,发布
唯派通N5blG,小程序开发,5000.0,2023-09-01,发布
k2356****33,其他管理软件,6750.0,2023-09-01,发布
风景如画26,APP开发,5500.0,2023-08-25,发布
mf189****9869,VR场景,10320.0,2023-08-25,发布
华创hGgSJ,小程序开发,10000.0,2023-08-24,发布
o59ed5e4a44e07,APP界面设计,2000.0,2023-08-24,发布
A友森联创,H5开发,5000.0,2023-08-19,发布
k3293****81,小程序开发,4000.0,2023-08-18,发布
立意iFSX1,采集工具,500.0,2023-08-17,发布
k5186****99,小程序开发,3000.0,2023-08-17,发布
o5cdd45583ea4c,小程序开发,2100.0,2023-08-17,发布
威上帝r9BPQ,APP开发,15000.0,2023-08-16,发布
sorlik_Don,APP界面设计,1000.0,2023-08-16,发布
威沃yMCqc,小程序开发,3000.0,2023-08-13,发布
kevin1779,软件UI设计,300.0,2023-08-11,发布
a1384****131,其他软件开发,2300.0,2023-08-10,发布
小小书童画安,软件UI设计,10000.0,2023-08-05,发布
o5cbc816cd771f,小程序开发,6000.0,2023-08-04,发布
o6035ae34bc4b5,脚本开发,2800.0,2023-08-04,发布
mf189****9869,小程序开发,7000.0,2023-08-03,发布
o5ad4cde48dc4d,APP开发,9000.0,2023-08-03,发布
k2111****30,H5开发,5000.0,2023-08-02,发布
ggpgao2019,小程序开发,1200.0,2023-08-01,发布
A友森联创,APP开发,2500.0,2023-07-31,发布
威沃yMCqc,小程序开发,2000.0,2023-07-28,发布
无敌小别致,小程序开发,7500.0,2023-07-27,发布
天晟2998,采集工具,1200.0,2023-07-26,发布
A友森联创,其他软件开发,1000.0,2023-07-26,发布
星享事成WoLOw,小程序开发,8000.0,2023-07-25,发布
jw007,定制开发,3500.0,2023-07-24,发布
天晟2998,采集工具,700.0,2023-07-24,发布
o595de73c248b3,APP开发,3000.0,2023-07-24,发布
加加KR2Fm,APP开发,10000.0,2023-07-22,发布
o5f5b330f82e79,APP开发,2000.0,2023-07-22,发布
阿狸科技8,网站UI设计,2000.0,2023-07-22,发布
o591ceac04443e,网站UI设计,5000.0,2023-07-21,发布
金客S4ZqL,H5开发,3000.0,2023-07-21,发布
o5fba71af10ebf,区块链应用,4000.0,2023-07-20,发布
伯爵i2CeB,APP开发,3500.0,2023-07-17,发布
Ricohaa,嵌入式软件,35000.0,2023-07-17,发布
o606ace965d6df,小程序开发,1500.0,2023-07-15,发布
wangtuai,商城建设,3000.0,2023-07-13,发布
o5f6165a31888c,小程序开发,3800.0,2023-07-13,发布
优源汇客EESmg,小程序开发,15000.0,2023-07-10,发布
运筹威幄Vwy1X,小程序开发,4500.0,2023-07-07,发布
k8268****83,APP开发,5800.0,2023-07-07,发布
winsoft,其他软件开发,2000.0,2023-07-06,发布
威咖qTCI3,网站UI设计,1000.0,2023-07-05,发布
o5d9d23ec527c0,运维服务,3000.0,2023-07-04,发布
o5db8f64f796c1,APP开发,8000.0,2023-07-03,发布
mf186****2969,APP开发,600.0,2023-07-02,发布
威风志9ox1R,APP界面设计,3000.0,2023-07-02,发布
企动力d,模板建站,200.0,2023-07-02,发布
o5ff2d5b3d52cc,软件UI设计,2000.0,2023-07-01,发布
o5704****4173a,小程序开发,15000.0,2023-06-30,发布
平安1,API接口,3000.0,2023-06-28,发布
o5eb8db206485f,定制开发,4000.0,2023-06-28,发布
mynuomi,APP开发,3000.0,2023-06-27,发布
远卫信息科技,小程序开发,300.0,2023-06-25,发布
o5a460a1133d4b,小程序开发,15000.0,2023-06-25,发布
zwq123456,商城建设,3000.0,2023-06-23,发布
k6794****72,APP开发,2250.0,2023-06-21,发布
o59cf404e28b22,响应式网站,2700.0,2023-06-21,发布
k4237****44,小程序开发,300.0,2023-06-20,发布
智勤通,小程序开发,12000.0,2023-06-20,发布
胡志勇,其他软件开发,3000.0,2023-06-20,发布
爱威特品xaiAr,软件UI设计,2500.0,2023-06-17,发布
威友xvJp6,游戏建模,1500.0,2023-06-15,发布
vitorru,其他软件开发,18000.0,2023-06-12,发布
vitorru,其他软件开发,9000.0,2023-06-12,发布
vitorru,其他软件开发,18000.0,2023-06-12,发布
o5fba71af10ebf,APP开发,15892.0,2023-06-12,发布
o5a460a1133d4b,小程序开发,20000.0,2023-06-11,发布
mf188****8589,网站UI设计,12000.0,2023-06-10,发布
威站天下1UaLy,手游开发,15000.0,2023-06-09,发布
加加nTRr7,小程序开发,16000.0,2023-06-08,发布
聚优BZa2U,APP开发,20000.0,2023-06-08,发布
金客KgwhZ,其他软件开发,2200.0,2023-06-08,发布
o5d762873c3148,APP开发,7800.0,2023-06-08,发布
尚品lz2pl,PCBA,10000.0,2023-06-07,发布
A友森联创,H5开发,3500.0,2023-06-06,发布
必乐科技,运维服务,400.0,2023-06-06,发布
君客行m82Sr,其他软件开发,600.0,2023-06-06,发布
优品汇pi7an,其他工具软件,15000.0,2023-06-05,发布
o5fba71af10ebf,其他软件开发,12382.0,2023-06-05,发布
hongda1068,软件UI设计,2700.0,2023-06-05,发布
唯派通N5blG,小程序开发,15000.0,2023-06-05,发布
o5a460a1133d4b,H5开发,21000.0,2023-06-05,发布
心概念DqUdZ,门户网站,1000.0,2023-06-04,发布
mf187****6056,其他网站,500.0,2023-06-03,发布
骏灵科技,网站UI设计,4500.0,2023-06-03,发布
V企动力rJs6D,微信开发,10000.0,2023-06-03,发布
APP定制和开发,APP开发,2100.0,2023-06-02,发布
k7264****11,其他网站,2250.0,2023-06-01,发布
为客呈现wlnjc,小程序开发,6600.0,2023-05-31,发布
一世如秋,电子设备,2400.0,2023-05-31,发布
o5fa0e663319ad,小程序开发,2000.0,2023-05-30,发布
优社CTScS,其他软件开发,8800.0,2023-05-28,发布
o5a460a1133d4b,小程序开发,15000.0,2023-05-29,发布
o5c6cbdda66667,企业官网,1200.0,2023-05-29,发布
E企航pWgVq,采集工具,7000.0,2023-05-29,发布
维联创VxDwp,脚本开发,1500.0,2023-05-29,发布
o5c6239ac38bd0,电子设备,30000.0,2023-05-25,发布
o5f97f5018e2fa,定制开发,400.0,2023-05-25,发布
k2362****19,小程序开发,8000.0,2023-05-23,发布
丞相n92dO,模板建站,500.0,2023-05-22,发布
春暖花开2023,小程序开发,3600.0,2023-05-22,发布
o5fa0e663319ad,小程序开发,49000.0,2023-05-22,发布
k1907****33,H5开发,10000.0,2023-05-22,发布
蜂巢SAAS,网站UI设计,5000.0,2023-05-21,发布
唯派通5LJIU,APP开发,4200.0,2023-05-19,发布
同君行41PCd,后端开发,3000.0,2023-05-18,发布
o5b39e9102f364,定制开发,3000.0,2023-05-18,发布
聚品创客2rS8Z,小程序开发,7000.0,2023-05-18,发布
创时空YXt2R,其他软件开发,16000.0,2023-05-18,发布
o62415b1497ed3,企业官网,3000.0,2023-05-16,发布
威站天下Cj5oJ,其他软件开发,6000.0,2023-05-15,发布
丞相n92dO,其他软件开发,500.0,2023-05-14,发布
o58f466a3af3c0,前端开发,3000.0,2023-05-14,发布
智勤通,前端开发,3200.0,2023-05-13,发布
小小豆豆,H5开发,1500.0,2023-05-11,发布
k2778****08,小程序开发,1500.0,2023-05-11,发布
千锤百炼aaaaa,APP开发,10000.0,2023-05-11,发布
k3287****66,APP界面设计,8000.0,2023-05-10,发布
A友森联创,其他软件开发,400.0,2023-05-09,发布
易联宝pT9Xf,产品原型设计,2000.0,2023-05-08,发布
k3617****09,门户网站,2000.0,2023-05-06,发布
k1416****02,小程序开发,1800.0,2023-05-06,发布
威赞1IE8P,软件UI设计,1500.0,2023-05-05,发布
桃李不言喵,软件UI设计,1000.0,2023-05-05,发布
企动力d,模板建站,300.0,2023-05-03,发布
梨子科技,区块链应用,5000.0,2023-05-02,发布
风速阁LBqNT,定制开发,1000.0,2023-04-30,发布
o5fe965a514be2,APP开发,1000.0,2023-04-28,发布
叶摩拉IhmmZ,定制开发,10000.0,2023-04-28,发布
o5fba71af10ebf,小程序开发,3100.0,2023-04-27,发布
kangsheng,微信开发,4000.0,2023-04-26,发布
APP定制和开发,API接口,5500.0,2023-04-25,发布
k8495****16,小程序开发,3000.0,2023-04-24,发布
威领Rd7Y7,小程序开发,8000.0,2023-04-23,发布
k4572****56,网站UI设计,1800.0,2023-04-21,发布
o5fba71af10ebf,APP开发,39000.0,2023-04-20,发布
k3074****95,软件UI设计,900.0,2023-04-20,发布
wangtuai,营销型网站,6000.0,2023-04-20,发布
o634c38d93d2ac,APP开发,20000.0,2023-04-18,发布
君客行LKMaX,APP开发,400.0,2023-04-18,发布
mf151****8336,商城建设,1200.0,2023-04-17,发布
奈何桥上看鬼,网站UI设计,600.0,2023-04-17,发布
o5acb57b96fb8e,小程序开发,2000.0,2023-04-16,发布
o5c6cbdda66667,定制开发,4000.0,2023-04-15,发布
o6046ed0e650de,H5开发,1700.0,2023-04-12,发布
威锐美客Sjc9p,小程序开发,1000.0,2023-04-11,发布
创时空YXLpZ,小程序开发,5000.0,2023-04-09,发布
o552e16c4cdd54,响应式网站,5000.0,2023-04-08,发布
o5c8b52319f8b9,定制开发,4000.0,2023-04-08,发布
A友森联创,H5开发,900.0,2023-04-09,发布
集创fvSQX,其他工具软件,650.0,2023-04-07,发布
o5a460a1133d4b,H5开发,21000.0,2023-04-06,发布
鼓楼先生121,小程序开发,1500.0,2023-04-02,发布
vitorru,小程序开发,7500.0,2023-03-31,发布
威胜一筹KJEok,小程序开发,7500.0,2023-03-31,发布
k2991****63,APP开发,11500.0,2023-03-30,发布
韬领zdiMj,定制开发,2.0,2023-03-29,发布
o5ff2d5b3d52cc,采集工具,3000.0,2023-03-29,发布
o5b3308e94e007,电商网站,3000.0,2023-03-29,发布
k5817****84,小程序开发,1000.0,2023-03-28,发布
o5fa0e663319ad,SAAS软件,22000.0,2023-03-28,发布
助威者xwOO6,定制开发,3400.0,2023-03-28,发布
麦阁Zoel7,脚本开发,1000.0,2023-03-28,发布
际尊服Azn1C,小程序开发,3000.0,2023-03-26,发布
o5fa0e663319ad,SAAS软件,39000.0,2023-03-25,发布
k3324****03,小程序开发,2000.0,2023-03-24,发布
ggpgao2019,其他软件开发,800.0,2023-03-24,发布
huan1491,其他软件开发,1000.0,2023-03-22,发布
威赞1IE8P,APP开发,2000.0,2023-03-20,发布
创时空krpBj,其他软件开发,40000.0,2023-03-20,发布
o6007de46279fe,小程序开发,8000.0,2023-03-19,发布
威多宝lwW96,响应式网站,800.0,2023-03-18,发布
威科AKnJN,小程序开发,10000.0,2023-03-17,发布
智业宝,网站二次开发,5000.0,2023-03-16,发布
o5f56****97378,小程序开发,1000.0,2023-03-16,发布
o5fba71af10ebf,安监系统软件,13000.0,2023-03-16,发布
风速阁4916F,小程序开发,1000.0,2023-03-15,发布
o60e0****9208d,商城建设,1800.0,2023-03-15,发布
一伽科技,其他软件开发,3000.0,2023-03-15,发布
君客行LKMaX,APP开发,500.0,2023-03-07,发布
o5b2bd563df091,小程序开发,1000.0,2023-03-06,发布
尊服O0nyi,小程序开发,1500.0,2023-03-06,发布
影视888999,网站二次开发,19000.0,2023-03-05,发布
o5f3bb28f323cc,小程序开发,700.0,2023-03-06,发布
o5fba71af10ebf,安监系统软件,32000.0,2023-03-05,发布
o5f65c85fc8b07,其他软件开发,1000.0,2023-03-03,发布
威斯特Uina7,APP开发,38000.0,2023-03-02,发布
立意A7z1J,小程序开发,1200.0,2023-03-02,发布
binggo123,H5开发,5000.0,2023-02-28,发布
o5fba71af10ebf,安监系统软件,38000.0,2023-02-28,发布
威威起家QndPT,H5开发,1500.0,2023-02-25,发布
威主力z2hHI,其他软件开发,11000.0,2023-02-24,发布
leimeng1011,手游开发,10000.0,2023-02-24,发布
k4629****22,电商网站,3000.0,2023-02-22,发布
vitorru,小程序开发,4500.0,2023-02-22,发布
o605e774258bdc,手机网站,1000.0,2023-02-21,发布
o5fa0e663319ad,SAAS软件,39000.0,2023-02-20,发布
o6173****0b6d8,其他软件开发,1000.0,2023-02-19,发布
o5a460a1133d4b,OA系统,39000.0,2023-02-17,发布
k6763****41,小程序开发,4000.0,2023-02-17,发布
o5e69d8db00086,小程序开发,8200.0,2023-02-17,发布
o5fa0e663319ad,SAAS软件,12000.0,2023-02-15,发布
威恒天下iMuoK,H5开发,3500.0,2023-02-15,发布
o5ece210374be4,前端开发,2600.0,2023-02-13,发布
啊布工作室,其他软件开发,3000.0,2023-02-09,发布
o5fa0e663319ad,SAAS软件,38000.0,2023-02-08,发布
周六六,响应式网站,2000.0,2023-02-08,发布
威享eddnu,软件UI设计,2400.0,2023-02-07,发布
o5c442c3cce6be,其他软件开发,2000.0,2023-02-07,发布
合作是王道,网站二次开发,2000.0,2023-02-05,发布
元宇智创,分销管理软件,12500.0,2023-02-03,发布
星享事成KhG7w,APP开发,1500.0,2023-02-03,发布
k6278****33,小程序开发,3500.0,2023-02-03,发布
k8333****41,企业官网,1000.0,2023-02-02,发布
尊鉴zlISk,小程序开发,5000.0,2023-02-02,发布
快乐主人,门户网站,19000.0,2023-02-01,发布
极品堂BdhRD,APP开发,5000.0,2023-01-29,发布
o593b7bc311f8b,SAAS软件,4000.0,2023-01-28,发布
o5ece210374be4,小程序开发,2800.0,2023-01-28,发布
yt600,小程序开发,1000.0,2023-01-28,发布
zmy518,网站UI设计,2000.0,2023-01-28,发布
o5fa0e663319ad,SAAS软件,49000.0,2023-01-27,发布
月月鸟123,APP开发,3000.0,2023-01-18,发布
基数科技,其他行业,500.0,2023-01-17,发布
kevin1779,采集工具,4000.0,2023-01-10,发布
lin7604,其他软件开发,9600.0,2023-01-09,发布
骄世客S3pcl,小程序开发,10000.0,2023-01-09,发布
LIKEE,APP开发,2000.0,2023-01-05,发布
o60b0****10693,小程序开发,14000.0,2023-01-05,发布
大员I3j0B,小程序开发,3300.0,2023-01-04,发布
o5fba71af10ebf,APP开发,38000.0,2023-01-04,发布
西部之星,小程序开发,9000.0,2023-01-04,发布
o5c7a1aed7bd9c,企业官网,1800.0,2023-01-03,发布
易V咖vrYhy,APP开发,1500.0,2023-01-03,发布
斜_杠,H5开发,1500.0,2023-12-31,发布
龙飞翔pzsJO,小程序开发,4000.0,2023-12-31,发布
有让科技,采集工具,8000.0,2023-12-29,发布
有让科技,采集工具,6000.0,2023-12-29,发布
志云海,定制开发,3000.0,2023-12-28,发布
k9984****93,APP开发,11800.0,2023-12-27,发布
蓝牙模块,物联网,20000.0,2023-12-26,发布
蓝牙模块,物联网,25000.0,2023-12-26,发布
蓝牙模块,物联网,15000.0,2023-12-26,发布
k4591****89,小程序开发,4000.0,2023-12-25,发布
知�****4970302,营销型网站,8000.0,2023-12-25,发布
新域OamRd,脚本开发,2000.0,2023-12-25,发布
vitorru,小程序开发,2500.0,2023-12-22,发布
k7108****22,小程序开发,1500.0,2023-12-21,发布
k7108****22,小程序开发,3500.0,2023-12-21,发布
寻你千百回,其他软件开发,800.0,2023-12-20,发布
vitorru,小程序开发,7800.0,2023-12-20,发布
vitorru,APP开发,106000.0,2023-12-20,发布
o5d6779f230da8,小程序开发,28000.0,2023-12-19,发布
陌生人再见,采集工具,20000.0,2023-12-19,发布
陌生人再见,采集工具,25000.0,2023-12-19,发布
陌生人再见,采集工具,15000.0,2023-12-19,发布
k5258****89,小程序开发,2500.0,2023-12-19,发布
