Source,Target,Transaction_Price,Publication_Time,Type
o5d2c3868e8db9,图像识别,2500.0,2022-11-24,发布
o6361d5a96b4a4,图像识别,6500.0,2022-11-02,发布
鲸创客0xam5,图像识别,4000.0,2022-07-12,发布
o592ba50e8a87a,数据采集,2500.0,2022-12-18,发布
铸威AfdHR,数据采集,200.0,2022-11-19,发布
威友GFBSd,数据采集,200.0,2022-11-09,发布
铸威AfdHR,数据采集,300.0,2022-11-04,发布
E企航7MWPr,数据采集,300.0,2022-10-30,发布
o61ea26d8479fa,图像识别,800.0,2022-02-15,发布
lxm1971,商标注册,500.0,2022-03-03,发布
云嘉嘉HKCYA,法律文书,200.0,2022-08-08,发布
ganjue68,网站UI设计,500.0,2022-12-19,发布
TeFuir丶漫步,软件UI设计,4250.0,2022-12-31,发布
俫骄霸uswQC,小程序开发,12000.0,2022-12-31,发布
o5d662930dde81,其他软件开发,9000.0,2022-12-29,发布
o5e630c8fcb287,其他软件开发,5000.0,2022-12-27,发布
首智汇云,产品原型设计,3000.0,2022-12-27,发布
o5fa0e663319ad,APP开发,7000.0,2022-12-22,发布
尊鉴zlISk,小程序开发,10000.0,2022-12-22,发布
o5fa0e663319ad,APP开发,26000.0,2022-12-19,发布
基数科技,企业官网,8100.0,2022-12-19,发布
创心c94I1,APP开发,13000.0,2022-12-19,发布
o5f140bd490e78,小程序开发,8000.0,2022-12-16,发布
o5be16cd4a5c4d,定制开发,1500.0,2022-12-13,发布
bjsztd,嵌入式软件,3000.0,2022-12-13,发布
o5e1bd80854ae6,其他软件开发,8000.0,2022-12-12,发布
bjsztd,嵌入式软件,6000.0,2022-12-11,发布
k9078****17,小程序开发,2500.0,2022-12-08,发布
k5963****06,小程序开发,3600.0,2022-12-07,发布
o5fba71af10ebf,APP开发,15000.0,2022-12-06,发布
k3074****95,小程序开发,3500.0,2022-12-06,发布
o5fba71af10ebf,APP开发,21000.0,2022-12-05,发布
o5d07****87f74,APP开发,6000.0,2022-12-05,发布
o5c79de611551e,企业官网,8000.0,2022-12-03,发布
k8684****20,软件UI设计,800.0,2022-12-02,发布
o5fa0e663319ad,其他软件开发,4900.0,2022-11-30,发布
o5d85a51fe9cf4,APP开发,9000.0,2022-11-30,发布
威友ANhqT,定制开发,4500.0,2022-11-29,发布
o6384****3f22a,软件UI设计,2000.0,2022-11-28,发布
bjsztd,机器人,3000.0,2022-11-27,发布
o5d0a4f02047c0,其他网站,2000.0,2022-11-23,发布
k6206****75,小程序开发,5100.0,2022-11-23,发布
k2328****36,APP开发,2000.0,2022-11-21,发布
尊鉴nH8bz,其他软件开发,13000.0,2022-11-20,发布
o5fba71af10ebf,APP开发,18000.0,2022-11-20,发布
广州丶NET_技术,小程序开发,2000.0,2022-11-18,发布
o5fa0e663319ad,APP开发,20000.0,2022-11-16,发布
k2976****76,小程序开发,6000.0,2022-11-16,发布
wqt123,APP开发,2300.0,2022-11-16,发布
红中2,网站二次开发,1000.0,2022-11-16,发布
o5f6d607cb1281,小程序开发,2850.0,2022-11-14,发布
