Designer_ID,Deviation,Year,Volume,Entropy,Gini
1号品牌设计,0.30411084329004523,2023,11.999999999999996,10.642206084269963,0.3627057112730421
@烨名珠@,0.8533889621574109,2023,1.0,7.728188054670556,0.1328254920337819
AJD科技,0.59771788461581,2023,1.0,10.043163702040667,0.2567671347678696
Alilaa,0.9356568616084531,2023,1.0000000000000002,4.392317422778759,5.286776196716541e-18
B1026330,0.8935347864292966,2023,1.0000000000000002,6.489276102187392,0.152533317317335
B1026331,0.30411084329005444,2023,1.0,10.642206084269962,0.3627046127619739
B1026336,0.9651721799109102,2023,0.9999999999999998,3.700439718141092,8.5401770014789e-18
B1026455,0.3668988178032936,2023,1.0,9.922670307820407,0.3293266920634541
B1026506,0.8508018985221533,2023,0.9999999999999998,2.807354922057604,1.5860328812194222e-17
B1026557,0.59771788461581,2023,1.0,10.043163702040667,0.2567671347678696
B1026603,0.8449416716348558,2023,1.0000000000000002,5.2599910290083285,0.0462789225228268
B1026609,0.6812781032893103,2023,1.0000000000000002,9.66635615160067,0.2014146358927004
B1026631,0.9265531378367892,2023,0.9999999999999998,6.403787755544736,0.1101034787248489
B1026643,0.30411084329005444,2023,1.0,10.642206084269962,0.3627046127619739
B1026696,0.8167255352830597,2023,1.0000000000000004,6.687745184644781,0.1117818058858195
B1026784,0.8508018985221533,2023,0.9999999999999998,2.807354922057604,1.5860328812194222e-17
B1026856,0.8748970756089594,2023,1.0,7.914846546999867,0.0343885501478407
B1026877,0.30411084329005444,2023,1.0,10.642206084269962,0.3627046127619739
B1026940,0.6936881566276045,2023,1.0,7.20234089205118,0.1730672293892139
B1026953,0.3668988178032936,2023,1.0,9.922670307820407,0.3293266920634541
B1027177,0.8745916011544324,2023,1.0,7.199543289467085,0.0820595526073136
B1027228,0.9603758682052318,2023,0.9999999999999998,3.700439718141092,8.5401770014789e-18
B1027456,0.59771788461581,2023,1.0,10.043163702040667,0.2567671347678696
B1027457,0.59771788461581,2023,1.0,10.043163702040667,0.2567671347678696
B1027575,0.6812781032893103,2023,1.0000000000000002,9.66635615160067,0.2014146358927004
B1027692,0.9542071303093191,2023,0.9999999999999998,6.24359229878263,0.0249876686332403
B1027880,0.9101391467067558,2023,0.9999999999999998,7.747852937519955,0.0491015725949142
B1027913,0.9705770326493567,2023,0.9999999999999998,5.882643049361841,9.408669145101712e-18
