Source,Target,Type
任务编号：698945,knowledge:信息普及,关联
任务编号：698945,knowledge:专刊,关联
任务编号：698952,knowledge:企业网站,关联
任务编号：698952,knowledge:网站开发,关联
任务编号：698952,knowledge:公司网站,关联
任务编号：698963,knowledge:手提袋,关联
任务编号：698963,knowledge:设计,关联
任务编号：698963,knowledge:印刷,关联
任务编号：698964,knowledge:企业网站,关联
任务编号：698964,knowledge:网站设计,关联
任务编号：698981,knowledge:医疗器械展示,关联
任务编号：698981,knowledge:小程序,关联
任务编号：698981,knowledge:管理类APP,关联
任务编号：698981,knowledge:二期开发,关联
任务编号：698982,knowledge:直播APP,关联
任务编号：698982,knowledge:源码购买,关联
任务编号：698991,knowledge:手机app定制,关联
任务编号：698991,knowledge:app开发,关联
任务编号：698991,knowledge:二度开发,关联
任务编号：698995,knowledge:小程序搭建,关联
任务编号：698995,knowledge:小程序定制,关联
任务编号：698995,knowledge:小程序开发,关联
任务编号：698997,knowledge:微信程序,关联
任务编号：698997,knowledge:开发,关联
任务编号：698999,knowledge:服务平台APP,关联
任务编号：698999,knowledge:首期开发,关联
任务编号：699000,knowledge:微信小程序,关联
任务编号：699000,knowledge:制作,关联
任务编号：699001,knowledge:微信小程序,关联
任务编号：699001,knowledge:二期开发,关联
任务编号：699003,knowledge:微信小程序,关联
任务编号：699003,knowledge:制作末期,关联
任务编号：699007,knowledge:小程序搭建,关联
任务编号：699007,knowledge:小程序定制,关联
任务编号：699007,knowledge:小程序开发,关联
任务编号：699013,knowledge:网站开发,关联
任务编号：699013,knowledge:定制网站,关联
任务编号：699013,knowledge:企业网站,关联
任务编号：699013,knowledge:购物商城,关联
任务编号：699013,knowledge:网站设计,关联
任务编号：699021,knowledge:交易APP,关联
任务编号：699021,knowledge:开发,关联
任务编号：699031,knowledge:网站开发,关联
任务编号：699031,knowledge:服务,关联
任务编号：699032,knowledge:琉妆伊彩,关联
任务编号：699032,knowledge:拼多多,关联
任务编号：699032,knowledge:代运营,关联
任务编号：699034,knowledge:二期款项,关联
任务编号：699041,knowledge:软件二次开发,关联
任务编号：699043,knowledge:微信H5,关联
任务编号：699043,knowledge:定制开发,关联
任务编号：699043,knowledge:交互设计,关联
任务编号：699043,knowledge:ih5认证,关联
任务编号：699043,knowledge:微信推广,关联
任务编号：699046,knowledge:生活服务,关联
任务编号：699046,knowledge:公司logo,关联
任务编号：699046,knowledge:设计,关联
任务编号：699048,knowledge:儿童学步车,关联
任务编号：699048,knowledge:外观设计,关联
任务编号：699049,knowledge:护肤品包装,关联
任务编号：699049,knowledge:设计,关联
任务编号：699055,knowledge:儿童山地车,关联
任务编号：699055,knowledge:外观设计,关联
任务编号：699061,knowledge:卡通动画,关联
任务编号：699065,knowledge:电商网站,关联
任务编号：699065,knowledge:开发,关联
任务编号：699065,knowledge:三期,关联
任务编号：699066,knowledge:商标,关联
任务编号：699066,knowledge:企业品牌,关联
任务编号：699066,knowledge:公司logo设计,关联
任务编号：699085,knowledge:非小号网站,关联
任务编号：699085,knowledge:二次开发,关联
任务编号：699096,knowledge:商业计划书,关联
任务编号：699096,knowledge:招商,关联
任务编号：699097,knowledge:品牌故事,关联
任务编号：699099,knowledge:商业计划书,关联
任务编号：699100,knowledge:品牌故事,关联
任务编号：699101,knowledge:多商户分销,关联
任务编号：699101,knowledge:小程序商城,关联
任务编号：699101,knowledge:UI主题,关联
任务编号：699102,knowledge:品牌故事,关联
任务编号：699106,knowledge:出口贸易,关联
任务编号：699106,knowledge:电商自营,关联
任务编号：699106,knowledge:APP开发,关联
任务编号：699110,knowledge:商业贸易,关联
任务编号：699110,knowledge:软件开发,关联
任务编号：699110,knowledge:一期,关联
任务编号：699111,knowledge:商业贸易,关联
任务编号：699111,knowledge:软件开发,关联
任务编号：699111,knowledge:二期,关联
任务编号：699112,knowledge:软件界面,关联
任务编号：699112,knowledge:UI设计,关联
任务编号：699116,knowledge:答题微信小程序,关联
任务编号：699116,knowledge:二期开发,关联
任务编号：699117,knowledge:生活服务,关联
任务编号：699117,knowledge:软件开发,关联
任务编号：699123,knowledge:打车软件,关联
任务编号：699123,knowledge:开发,关联
任务编号：699125,knowledge:智能家居,关联
任务编号：699125,knowledge:软件开发,关联
任务编号：699128,knowledge:携程APP,关联
任务编号：699128,knowledge:APP开发,关联
任务编号：699128,knowledge:旅游预订系统,关联
任务编号：699138,knowledge:微信小程序,关联
任务编号：699138,knowledge:开发,关联
任务编号：699139,knowledge:安全动态管理,关联
任务编号：699139,knowledge:APP开发,关联
任务编号：699141,knowledge:携程APP,关联
任务编号：699141,knowledge:附加功能,关联
任务编号：699141,knowledge:功能开发,关联
任务编号：699145,knowledge:数控机床,关联
任务编号：699145,knowledge:报表系统,关联
任务编号：699145,knowledge:系统开发,关联
任务编号：699174,knowledge:网站建设,关联
任务编号：699175,knowledge:微信小程序,关联
任务编号：699175,knowledge:微信公众号,关联
任务编号：699175,knowledge:H5定制,关联
任务编号：699175,knowledge:分销商城,关联
任务编号：699175,knowledge:微信商城,关联
任务编号：699184,knowledge:网站维护,关联
任务编号：699184,knowledge:网站完善,关联
任务编号：699184,knowledge:网站修改,关联
任务编号：699205,knowledge:商标,关联
任务编号：699205,knowledge:企业品牌,关联
任务编号：699205,knowledge:餐饮品牌,关联
任务编号：699205,knowledge:公司logo设计,关联
任务编号：699219,knowledge:企业管理系统,关联
任务编号：699219,knowledge:管理系统,关联
任务编号：699219,knowledge:企业系统,关联
任务编号：699220,knowledge:照片精修,关联
任务编号：699220,knowledge:滑冰,关联
任务编号：699222,knowledge:提货卡,关联
任务编号：699222,knowledge:升级,关联
任务编号：699225,knowledge:爱伪装,关联
任务编号：699225,knowledge:app开发,关联
任务编号：699227,knowledge:爱伪装app,关联
任务编号：699227,knowledge:第二期,关联
任务编号：699230,knowledge:高端护肤品,关联
任务编号：699230,knowledge:营销策划,关联
任务编号：699230,knowledge:护肤品方案,关联
任务编号：699231,knowledge:年夜饭,关联
任务编号：699231,knowledge:预订劵,关联
任务编号：699231,knowledge:设计,关联
任务编号：699232,knowledge:QML,关联
任务编号：699232,knowledge:网页功能,关联
任务编号：699232,knowledge:修改,关联
任务编号：699238,knowledge:天猫淘宝,关联
任务编号：699238,knowledge:亚马逊,关联
任务编号：699238,knowledge:速买通,关联
任务编号：699238,knowledge:店铺装修,关联
任务编号：699238,knowledge:宝贝详情页设计,关联
任务编号：699238,knowledge:深度设计,关联
任务编号：699240,knowledge:聊天室,关联
任务编号：699240,knowledge:平台开发,关联
任务编号：699241,knowledge:前端登录界面,关联
