id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
小程序,小程序,2023,2014,0,206.0,112,841560.0,786460.0,7021.964285714285
开发,开发,2023,2014,0,96.0,88,692020.0,673420.0,7652.5
APP开发,APP开发,2023,2014,0,57.0,32,580978.0,577878.0,18058.6875
合同,合同,2023,2014,0,37.0,42,521626.0,494126.0,11764.904761904761
服务商,服务商,2023,2014,0,100.0,76,434040.0,419590.0,5520.921052631579
租赁费用,租赁费用,2023,2021,0,1.0,8,399993.0,399993.0,49999.125
服务器运维,服务器运维,2023,2017,0,1.0,8,399993.0,399993.0,49999.125
预算,预算,2023,2015,0,74.0,107,399975.0,394925.0,3690.88785046729
APP,APP,2023,2014,0,68.0,35,423616.0,393316.0,11237.6
微信小程序,微信小程序,2023,2016,0,98.0,43,364240.0,354879.0,8253.0
设计,设计,2023,2014,0,114.0,83,313350.0,309850.0,3733.132530120482
北京,北京,2023,2014,0,15.0,27,295790.0,294790.0,10918.148148148148
包装设计,包装设计,2023,2014,0,226.0,114,290088.0,288436.0,2530.1403508771928
软件开发,软件开发,2023,2014,0,23.0,20,273594.0,272594.0,13629.7
微信,微信,2023,2014,0,57.0,80,276751.0,254461.0,3180.7625
ERP系统,ERP系统,2023,2015,0,10.0,4,236400.0,236400.0,59100.0
三维动画,三维动画,2023,2014,0,16.0,16,229640.0,232640.0,14540.0
制作,制作,2023,2014,0,46.0,44,231840.0,230940.0,5248.636363636364
客户,客户,2023,2014,0,23.0,24,218850.0,226550.0,9439.583333333334
报价,报价,2023,2014,0,34.0,60,236486.0,214786.0,3579.766666666667
