id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
LOGO设计,LOGO设计,2021,2014,0,777.0,406,692323.0,678522.0,1671.2364532019703
原创,原创,2021,2014,0,243.0,363,343428.0,333628.0,919.0853994490358
设计,设计,2021,2014,0,168.0,246,1013279.0,1005488.0,4087.349593495935
大气,大气,2021,2014,0,158.0,222,195789.0,184289.0,830.1306306306307
简洁,简洁,2021,2014,0,163.0,214,179386.0,175186.0,818.626168224299
开发,开发,2021,2014,0,207.0,188,2812360.0,2744970.0,14600.904255319148
软件开发,软件开发,2021,2014,0,84.0,178,4487445.0,4460440.0,25058.65168539326
小程序,小程序,2021,2014,0,250.0,163,1320854.0,1270554.0,7794.80981595092
PPT设计,PPT设计,2021,2014,0,14.0,141,222287.0,222587.0,1578.6312056737588
知识产权,知识产权,2021,2014,0,90.0,131,160090.0,159490.0,1217.4809160305344
品牌标识突出,品牌标识突出,2021,2014,0,102.0,128,125470.0,121810.0,951.640625
LOGO,LOGO,2021,2014,0,480.0,128,133927.0,128407.0,1003.1796875
logo设计,logo设计,2021,2014,0,227.0,122,194946.0,188422.0,1544.4426229508197
宣传册设计,宣传册设计,2021,2014,0,30.0,112,143445.0,139580.0,1246.25
简约,简约,2021,2014,0,89.0,111,146493.0,148093.0,1334.1711711711712
版权合规,版权合规,2021,2014,0,83.0,109,120012.0,119602.0,1097.2660550458716
视觉冲击力,视觉冲击力,2021,2014,0,80.0,101,154718.0,137918.0,1365.5247524752476
微信,微信,2021,2014,0,67.0,100,262640.0,242563.0,2425.63
画册设计,画册设计,2021,2014,0,8.0,93,110418.0,110518.0,1188.3655913978494
电商详情页,电商详情页,2021,2017,0,5.0,93,118330.0,118930.0,1278.8172043010752
