id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
开发,开发,2014,2014,1,92.0,90,566353.0,562353.0,6248.366666666667
设计,设计,2014,2014,1,235.0,240,484715.0,482215.0,2009.2291666666667
外观设计,外观设计,2014,2014,1,36.0,27,350125.0,350513.0,12981.962962962964
网站开发,网站开发,2014,2014,1,47.0,53,341870.0,336870.0,6356.037735849057
VI设计,VI设计,2014,2014,1,168.0,84,335150.0,334638.0,3983.785714285714
广告设计,广告设计,2014,2014,1,4.0,11,313820.0,313820.0,28529.090909090908
结构设计,结构设计,2014,2014,1,17.0,11,306465.0,306465.0,27860.454545454544
软件开发,软件开发,2014,2014,1,52.0,60,272129.0,267129.0,4452.15
推广,推广,2014,2014,1,30.0,25,229309.0,229989.0,9199.56
系统开发,系统开发,2014,2014,1,28.0,24,228650.0,228650.0,9527.083333333334
原创,原创,2014,2014,1,159.0,266,239284.0,226663.0,852.1165413533835
APP开发,APP开发,2014,2014,1,49.0,21,208900.0,207900.0,9900.0
企业官网,企业官网,2014,2014,1,143.0,69,218840.0,206620.0,2994.4927536231885
电磁炊具,电磁炊具,2014,2014,1,2.0,1,184625.0,184625.0,184625.0
知识产权,知识产权,2014,2014,1,122.0,203,185019.0,172198.0,848.2660098522167
网站建设,网站建设,2014,2014,1,32.0,38,160790.0,160590.0,4226.0526315789475
网站设计,网站设计,2014,2014,1,38.0,52,158040.0,157540.0,3029.6153846153848
微信整合推广,微信整合推广,2014,2014,1,0.0,4,150000.0,150000.0,37500.0
信息数据录入,信息数据录入,2014,2014,1,2.0,111,142217.0,142217.0,1281.2342342342342
产品设计,产品设计,2014,2014,1,16.0,9,142000.0,142000.0,15777.777777777777
