id,Name,year,first_year,is_new_this_year,degree_kk,order_count,demand_sum,trans_sum,avg_trans_per_order
开发,开发,2017,2014,0,660.0,1148,31368398.0,31338768.0,27298.578397212543
APP开发,APP开发,2017,2014,0,413.0,473,16896665.0,16834565.0,35591.04651162791
软件开发,软件开发,2017,2014,0,329.0,484,16187530.0,16203430.0,33478.16115702479
VI设计,VI设计,2017,2014,0,617.0,681,12057031.0,12055031.0,17701.954478707783
网站开发,网站开发,2017,2014,0,370.0,562,12037526.0,12005176.0,21361.5231316726
设计,设计,2017,2014,0,758.0,1020,10817427.0,10808277.0,10596.35
系统开发,系统开发,2017,2014,0,265.0,313,10132454.0,10129454.0,32362.47284345048
二期,二期,2017,2014,0,235.0,286,9930707.0,9915707.0,34670.304195804194
微信公众号,微信公众号,2017,2014,0,351.0,498,9172494.0,9155584.0,18384.706827309237
定制开发,定制开发,2017,2014,0,150.0,285,7616137.0,7586637.0,26619.77894736842
app开发,app开发,2017,2014,0,188.0,241,7524166.0,7512166.0,31170.8132780083
一期,一期,2017,2014,0,155.0,181,6973656.0,6978556.0,38555.558011049725
微信小程序,微信小程序,2017,2016,0,169.0,288,4450052.0,4431460.0,15387.013888888889
APP,APP,2017,2014,0,272.0,178,3952151.0,3961413.0,22255.129213483146
二次开发,二次开发,2017,2014,0,139.0,170,3639752.0,3629752.0,21351.482352941177
尾款,尾款,2017,2014,0,128.0,160,3554283.0,3554783.0,22217.39375
包装设计,包装设计,2017,2014,0,397.0,346,3463714.0,3459264.0,9997.872832369942
微信商城,微信商城,2017,2014,0,57.0,130,3395765.0,3396265.0,26125.115384615383
三期,三期,2017,2014,0,125.0,103,3356326.0,3356326.0,32585.68932038835
平台开发,平台开发,2017,2014,0,110.0,103,3233246.0,3233246.0,31390.73786407767
