Source,Target,Type,EdgeType
鲸创客0xam5,图像识别,发布,需求方-能力
广州召隆信息技术有限公司,图像识别,完成,设计师-能力
o6361d5a96b4a4,图像识别,发布,需求方-能力
长沙市白熊科技有限公司,图像识别,完成,设计师-能力
o5d2c3868e8db9,图像识别,发布,需求方-能力
见日智能科技,图像识别,完成,设计师-能力
o61ea26d8479fa,图像识别,发布,需求方-能力
泾县云顶文化传媒有限公司,图像识别,完成,设计师-能力
E企航7MWPr,数据采集,发布,需求方-能力
创梦科技工作室,数据采集,完成,设计师-能力
铸威AfdHR,数据采集,发布,需求方-能力
武汉动阅科技有限公司,数据采集,完成,设计师-能力
威友GFBSd,数据采集,发布,需求方-能力
o63025e334f946,数据采集,完成,设计师-能力
Ao592ba50e8a87a,数据采集,发布,需求方-能力
空然工作室,数据采集,完成,设计师-能力
lxm1971,商标注册,发布,需求方-能力
微时代snz0M,商标注册,完成,设计师-能力
云嘉嘉HKCYA,法律文书,发布,需求方-能力
君卿策划,法律文书,完成,设计师-能力
ganjue68,网站UI设计,发布,需求方-能力
艺行设计,网站UI设计,完成,设计师-能力
尊服fhUKq,网站UI设计,发布,需求方-能力
河南武林网络科技有限公司,网站UI设计,完成,设计师-能力
Mr_Liu,网站UI设计,发布,需求方-能力
简然网络科技,网站UI设计,完成,设计师-能力
威创金品X9YbO,小程序开发,发布,需求方-能力
致卓通威虎队,小程序开发,完成,设计师-能力
mf135****6590,其他软件开发,发布,需求方-能力
江苏尧志信息科技有限公司,其他软件开发,完成,设计师-能力
唯可VIUPRn,企业官网,发布,需求方-能力
创搜客网络,企业官网,完成,设计师-能力
威友J1sNq,门户网站,发布,需求方-能力
大秦网络科技,门户网站,完成,设计师-能力
靓荐jBqB5,餐饮,发布,需求方-能力
网序科技,餐饮,完成,设计师-能力
o5fa0e663319ad,APP开发,发布,需求方-能力
湖南三行云智信息科技有限公司,APP开发,完成,设计师-能力
k3874****13,小程序开发,发布,需求方-能力
东讯达科技（杭州）有限公司,小程序开发,完成,设计师-能力
好意传媒,APP开发,发布,需求方-能力
深圳市字节盒子科技有限公司,APP开发,完成,设计师-能力
v助利zUwzf,网站UI设计,发布,需求方-能力
k2838****59,APP开发,发布,需求方-能力
南京德艾普网络科技有限公司,APP开发,完成,设计师-能力
威服致尚HTVmN,安全服务,发布,需求方-能力
聚腾工作室,安全服务,完成,设计师-能力
字节盒子,产品原型设计,发布,需求方-能力
河南武林网络科技有限公司,产品原型设计,完成,设计师-能力
o565d398da858c,H5开发,发布,需求方-能力
睿博品牌策划（品牌设计 、互联网开发）,H5开发,完成,设计师-能力
创金品JNSYy,其他软件开发,发布,需求方-能力
黑羽网络-网站微信小程序开发,其他软件开发,完成,设计师-能力
维联创mGHQR,APP开发,发布,需求方-能力
网序科技,APP开发,完成,设计师-能力
fizz1118,手机网站,发布,需求方-能力
晨光网络科技工作室,手机网站,完成,设计师-能力
o5f25****58859,其他软件开发,发布,需求方-能力
聚仁工作室,其他软件开发,完成,设计师-能力
lpkfndn,网站二次开发,发布,需求方-能力
聚仁工作室,网站二次开发,完成,设计师-能力
k8587****57,其他软件开发,发布,需求方-能力
洛阳蓝普网络技术有限公司,其他软件开发,完成,设计师-能力
o5d77b544c148d,小程序开发,发布,需求方-能力
雨心工作室,其他网站,发布,需求方-能力
广州梦启云科技有限公司,其他网站,完成,设计师-能力
k2262****22,软件UI设计,发布,需求方-能力
小火花软件,软件UI设计,完成,设计师-能力
k6139****19,电商网站,发布,需求方-能力
武汉瑞美,电商网站,完成,设计师-能力
whaiwweg,其他软件开发,发布,需求方-能力
鑫鑫软件开发工作室,其他软件开发,完成,设计师-能力
o5fba71af10ebf,APP开发,发布,需求方-能力
o5c6cbdda66667,定制开发,发布,需求方-能力
洛阳蓝普网络技术有限公司,定制开发,完成,设计师-能力
zbzhuohui,定制开发,发布,需求方-能力
思爱威88Zt6,APP开发,发布,需求方-能力
码圈儿网络科技有限公司,APP开发,完成,设计师-能力
a8182****a,其他软件开发,发布,需求方-能力
璀燃网络科技有限公司,其他软件开发,完成,设计师-能力
jibage,定制开发,发布,需求方-能力
o5aa1dd201a3ea,APP开发,发布,需求方-能力
B周周软件开发,APP开发,完成,设计师-能力
一键通e网,APP开发,发布,需求方-能力
淄博嘉朵网络科技有限公司,APP开发,完成,设计师-能力
无名大卒,APP开发,发布,需求方-能力
简然网络科技,APP开发,完成,设计师-能力
优觅K1mu5,企业官网,发布,需求方-能力
B周周软件开发,企业官网,完成,设计师-能力
李20,小程序开发,发布,需求方-能力
淄博嘉朵网络科技有限公司,小程序开发,完成,设计师-能力
o576b2dd257edd,网站UI设计,发布,需求方-能力
淄博嘉朵网络科技有限公司,网站UI设计,完成,设计师-能力
赛威yTW8x,APP界面设计,发布,需求方-能力
淄博嘉朵网络科技有限公司,APP界面设计,完成,设计师-能力
立意TvmEg,小程序开发,发布,需求方-能力
鑫鑫软件开发工作室,小程序开发,完成,设计师-能力
小白跃起,小程序开发,发布,需求方-能力
雨心工作室,其他软件开发,发布,需求方-能力
广州梦启云科技有限公司,其他软件开发,完成,设计师-能力
唯可VIUPRn,营销型网站,发布,需求方-能力
临沂乔瑞网络技术服务有限公司,营销型网站,完成,设计师-能力
k7713****71,小程序开发,发布,需求方-能力
天成立中科技有限责任公司,小程序开发,完成,设计师-能力
tmanxbzz,小程序开发,发布,需求方-能力
国宾助力DYReS,小程序开发,发布,需求方-能力
威品VBueN,小程序开发,发布,需求方-能力
聚仁工作室,小程序开发,完成,设计师-能力
mf136****0408,产品原型设计,发布,需求方-能力
简然网络科技,产品原型设计,完成,设计师-能力
晨光网络科技工作室,营销型网站,完成,设计师-能力
cn0518,小程序开发,发布,需求方-能力
