designer,year,ability,order_count,total_amount,designer_idx,ability_idx
.如是.视觉品牌策划,2022,产品外观设计,1,1500.0,1,26
07品牌策划,2022,LOGO设计,1,1500.0,2,12
1号品牌设计,2022,LOGO设计,1,508.0,3,12
3D模型，汽车车载车模制作,2022,产品外观设计,1,600.0,4,26
404创意设计,2022,包装设计,1,3000.0,5,54
47号设计工作室,2022,包装设计,1,1500.0,6,54
53cp网络工作室,2022,前端开发,1,4000.0,7,46
96元创商业文案策划,2022,专业代笔,1,3500.0,8,20
96元创商业文案策划,2022,产品卖点,1,200.0,8,24
96元创商业文案策划,2022,品牌故事,2,1750.0,8,65
96元创商业文案策划,2022,商业提案,1,1650.0,8,70
96元创商业文案策划,2022,营销推广软文,1,200.0,8,167
@小杰设计,2022,卡通形象设计,1,1000.0,9,57
@烨名珠@,2022,公司起名,1,100.0,10,34
@烨名珠@,2022,品牌起名,2,400.0,10,67
ALD与蓝品牌设计,2022,LOGO设计,1,3000.0,11,12
AT设计,2022,产品外观设计,1,2000.0,12,26
AdobePhotoshopCC,2022,包装设计,1,800.0,13,54
AdobePhotoshopCC,2022,吉祥物设计,1,1000.0,13,60
Angelakid,2022,LOGO设计,3,3660.0,14,12
Aprion,2022,品牌起名,1,208.0,15,67
B1000054,2022,LOGO设计,1,2800.0,16,12
B1000323,2022,书籍装帧,1,5985.0,17,22
B1000351,2022,动画设计,1,24750.0,18,53
B1000370,2022,LOGO设计,1,23000.0,19,12
B1000422,2022,插画设计,1,400.0,20,120
B1000495,2022,产品外观设计,1,1500.0,21,26
B1000496,2022,网站二次开发,1,3000.0,22,159
B1000560,2022,广告设计,1,5500.0,23,101
B1000572,2022,物业管理软件,1,10000.0,24,145
B1000582,2022,微信开发,1,5000.0,25,111
B1000656,2022,网站二次开发,1,2000.0,26,159
B1000896,2022,LOGO设计,1,3800.0,27,12
B1001033,2022,SAAS软件,1,1500.0,28,15
B1001128,2022,画册设计,1,1500.0,29,152
B1001300,2022,网站二次开发,1,1000.0,30,159
B1001459,2022,排版设计,1,9250.0,31,119
B1001510,2022,包装设计,1,3300.0,32,54
B1001543,2022,画册设计,1,5200.0,33,152
B1001630,2022,书籍装帧,1,10560.0,34,22
B1001644,2022,VI设计,1,5800.0,35,16
B1001772,2022,网站二次开发,1,800.0,36,159
B1001817,2022,门户网站,1,6000.0,37,178
B1001899,2022,APP界面设计,1,350.0,38,6
B1002048,2022,微信开发,1,7000.0,39,111
B1002052,2022,小程序开发,1,3000.0,40,90
B1002076,2022,定制开发,1,2300.0,41,82
B1002261,2022,动漫角色设计,1,800.0,42,51
B1002280,2022,定制开发,1,5000.0,43,82
B1002610,2022,小程序开发,1,6500.0,44,90
B1002818,2022,其他软件开发,1,1500.0,45,43
B1002963,2022,SAAS软件,1,5000.0,46,15
B1003040,2022,门户网站,1,150.0,47,178
B1003058,2022,包装设计,1,7280.0,48,54
B1003236,2022,网站二次开发,1,500.0,49,159
B1003262,2022,LOGO设计,1,500.0,50,12
B1003326,2022,LOGO设计,1,299.0,51,12
B1003390,2022,嵌入式软件,1,49999.0,52,97
B1003457,2022,APP开发,1,19800.0,53,4
B1003570,2022,门户网站,1,6809.0,54,178
B1003592,2022,H5设计,1,2000.0,55,10
B1003593,2022,APP开发,1,17900.0,56,4
B1003636,2022,LOGO设计,1,3680.0,57,12
B1003708,2022,效果图设计,1,10.0,58,121
B1003760,2022,排版设计,1,5980.0,59,119
B1003843,2022,运维服务,1,49999.0,60,175
B1003869,2022,网站二次开发,1,23000.0,61,159
B1003956,2022,API接口,1,19999.0,62,3
B1003958,2022,游戏其他,1,37000.0,63,141
B1003986,2022,页游/端游开发,1,18500.0,64,180
B1004011,2022,包装设计,1,5950.0,65,54
B1004018,2022,VI设计,1,8168.0,66,16
B1004050,2022,小程序开发,1,30000.0,67,90
B1004111,2022,宣传册设计,1,6400.0,68,84
B1004118,2022,手游开发,1,9000.0,69,115
B1004184,2022,小程序开发,1,10000.0,70,90
B1004189,2022,三维动画,1,32450.0,71,19
B1004246,2022,定制开发,1,15000.0,72,82
B1004254,2022,插画设计,1,400.0,73,120
B1004322,2022,商城建设,1,50.0,74,72
B1004334,2022,响应式网站,1,30000.0,75,68
B1004422,2022,图像识别,1,2500.0,76,76
B1004488,2022,响应式网站,1,9962.0,77,68
B1004546,2022,响应式网站,1,150.0,78,68
B1004655,2022,APP开发,1,16200.0,79,4
B1004662,2022,VI设计,1,10580.0,80,16
B1004665,2022,三维动画,1,15120.0,81,19
B1004755,2022,整合营销,1,1500.0,82,125
B1004756,2022,整合营销,1,1500.0,83,125
B1004955,2022,排版设计,1,6400.0,84,119
B1004959,2022,企业宣传片,1,37900.0,85,31
B1005105,2022,其他软件开发,1,20000.0,86,43
B1005120,2022,商城建设,1,200.0,87,72
B1005166,2022,LOGO设计,1,3800.0,88,12
B1005451,2022,其他软件开发,1,1500.0,89,43
B1005520,2022,APP开发,1,1800.0,90,4
B1005627,2022,包装设计,1,1800.0,91,54
B1005651,2022,小程序开发,1,2000.0,92,90
