需求方,设计师,任务编号,能力标签,交易价格,发布时间
k3011****5,品策商业环境设计,任务编号：967726,舞台设计,1000.0,2021-10-09
k9971****4,武功空间设计,任务编号：964134,样板间,50000.0,2021-10-09
k6340****1,k648097966,任务编号：964135,样板间,15000.0,2021-10-09
k2215****6,鹰扬设计,任务编号：967565,娱乐休闲,40000.0,2021-10-08
k1326****3,灰度室内设计咨询,任务编号：966848,喷泉设计,10000.0,2021-10-08
k1728****7,卿云空间设计,任务编号：967242,舞台设计,1000.0,2021-10-08
k5216****2,专职店铺设计,任务编号：967244,舞台设计,3000.0,2021-10-08
k5070****5,大匠康宅,任务编号：966852,医疗机构,5000.0,2021-10-08
k5706****4,家装酒店别墅设计,任务编号：966826,工程造价,5000.0,2021-10-08
k7671****3,鼎尚空间室内设计,任务编号：966849,喷泉设计,20000.0,2021-10-08
k1999****0,三人行空间设计,任务编号：963920,导视设计,15000.0,2021-10-08
k8114****5,锋范商业设计,任务编号：967567,娱乐休闲,20000.0,2021-10-08
k9945****2,百好设计,任务编号：967566,娱乐休闲,20000.0,2021-10-08
k5216****2,灰度室内设计咨询,任务编号：967245,舞台设计,3000.0,2021-10-08
k4842****8,室内设计 曾,任务编号：967564,娱乐休闲,60000.0,2021-10-08
k8217****9,名设公装设计,任务编号：966847,喷泉设计,10000.0,2021-10-08
k5990****4,k320089362,任务编号：963918,导视设计,10000.0,2021-10-08
k2009****6,华启装饰设计,任务编号：967243,舞台设计,1000.0,2021-10-08
k3462****3,鼎尚空间室内设计,任务编号：964133,样板间,20000.0,2021-10-08
k2797****1,k975930655,任务编号：963919,导视设计,10000.0,2021-10-08
k6988****3,武功空间设计,任务编号：963962,舞台设计,2500.0,2021-10-07
k2790****9,品阁高端设计,任务编号：966840,喷泉设计,10000.0,2021-10-07
k5947****1,北晨国际空间设计,任务编号：963917,导视设计,10000.0,2021-10-07
k1921****3,k499275766,任务编号：966844,喷泉设计,30000.0,2021-10-07
k7671****3,北鸣效果图设计,任务编号：966843,喷泉设计,50000.0,2021-10-07
k5625****1,金和设计工作室,任务编号：966241,商业建筑,45000.0,2021-10-07
k7498****0,集简空间设计,任务编号：966841,喷泉设计,10000.0,2021-10-07
k5116****9,麒钰设计,任务编号：966842,喷泉设计,10000.0,2021-10-07
k7552****5,启点商业空间设计,任务编号：966845,喷泉设计,20000.0,2021-10-07
k2938****5,王本设计机构,任务编号：966934,舞台设计,3000.0,2021-10-07
k1906****3,唯你空间设计,任务编号：966936,舞台设计,2500.0,2021-10-07
k3525****7,潇潇专注餐饮设计,任务编号：966937,舞台设计,3000.0,2021-10-07
k1885****5,k365143731,任务编号：966935,舞台设计,3000.0,2021-10-07
k3913****3,木子易空间设计,任务编号：966242,商业建筑,20000.0,2021-10-07
k3184****5,河南仟佰迦设计,任务编号：963946,复式设计,1000.0,2021-10-06
k7267****6,雷鸟空间设计,任务编号：963959,舞台设计,3000.0,2021-10-06
k1326****3,k543281157,任务编号：966825,工程造价,3000.0,2021-10-06
k6684****4,小微餐饮设计公司,任务编号：966824,工程造价,4000.0,2021-10-06
k8897****7,雅和空间设计,任务编号：963958,舞台设计,4000.0,2021-10-06
k3483****2,千唐装饰设计,任务编号：966836,喷泉设计,6000.0,2021-10-06
k2849****7,IS空间设计,任务编号：966238,商业建筑,20000.0,2021-10-06
k7790****8,k212410990,任务编号：963916,导视设计,40000.0,2021-10-06
k9569****3,正臣工装装饰设计,任务编号：966850,医疗机构,7000.0,2021-10-06
k4873****3,内装施工图纸深化设计,任务编号：966562,自建房,1000.0,2021-10-06
k3526****3,雅颂设计,任务编号：966823,工程造价,5000.0,2021-10-06
k2009****6,天异视觉设计,任务编号：966564,自建房,1000.0,2021-10-06
