Source,Target,Type
网站UI设计,任务编号：1102282,属于
背景墙设计,任务编号：1102369,属于
其他内容创作,任务编号：1102699,属于
H5设计,任务编号：1102949,属于
LOGO设计,任务编号：1103518,属于
电话调查,任务编号：1104251,属于
电话调查,任务编号：1104252,属于
电话调查,任务编号：1104254,属于
电话调查,任务编号：1104259,属于
电话调查,任务编号：1104260,属于
电话调查,任务编号：1104262,属于
APP开发,任务编号：1104621,属于
手机网站,任务编号：1104934,属于
门户网站,任务编号：1104935,属于
电商,任务编号：1104951,属于
定制开发,任务编号：1105099,属于
APP开发,任务编号：1105153,属于
定制开发,任务编号：1105185,属于
APP开发,任务编号：1106462,属于
网站UI设计,任务编号：1106860,属于
定制开发,任务编号：1107185,属于
电话调查,任务编号：1107426,属于
APP开发,任务编号：1107768,属于
3D建模,任务编号：1107851,属于
其他软件开发,任务编号：1108265,属于
定制开发,任务编号：1108626,属于
APP开发,任务编号：1108981,属于
小程序开发,任务编号：1109857,属于
APP开发,任务编号：1110491,属于
H5开发,任务编号：1110557,属于
3D建模,任务编号：1110615,属于
APP界面设计,任务编号：1110616,属于
后端开发,任务编号：1112246,属于
网站UI设计,任务编号：1112424,属于
APP开发,任务编号：1112435,属于
APP开发,任务编号：1112449,属于
APP开发,任务编号：1112627,属于
店铺装修,任务编号：1112868,属于
小程序开发,任务编号：1112911,属于
APP开发,任务编号：1113153,属于
企业官网,任务编号：1113192,属于
APP开发,任务编号：1113335,属于
APP开发,任务编号：1113555,属于
APP开发,任务编号：1113680,属于
其他软件开发,任务编号：1113833,属于
APP开发,任务编号：1113894,属于
小程序开发,任务编号：1114307,属于
定制开发,任务编号：1114486,属于
定制开发,任务编号：1114487,属于
APP开发,任务编号：1114662,属于
详情页设计,任务编号：1114876,属于
后端开发,任务编号：1115112,属于
定制开发,任务编号：1115324,属于
店铺装修,任务编号：1115737,属于
门户网站,任务编号：1115807,属于
产品结构设计,任务编号：1115816,属于
产品结构设计,任务编号：1115819,属于
产品结构设计,任务编号：1115820,属于
语音识别,任务编号：1115821,属于
语音识别,任务编号：1115824,属于
语音识别,任务编号：1115825,属于
产品上架与优化,任务编号：1115828,属于
爆款打造,任务编号：1115831,属于
新闻营销,任务编号：1115833,属于
客户案例,任务编号：1115836,属于
客户案例,任务编号：1115838,属于
活动文案,任务编号：1115842,属于
