Source,Target,Transaction_Price,Publication_Time,Type
企特约AWhiT,图像识别,5000.0,2024-12-08,发布
维联创vfAxr,数据分析,5000.0,2024-11-21,发布
威创享sMGiG,机器学习,5000.0,2024-10-27,发布
一V渡江vtjlP,图像识别,6000.0,2024-04-02,发布
kimmy_1,数据分析,2000.0,2024-02-06,发布
jueban123,其他人工智能,13000.0,2024-10-09,发布
秒回客KPUQM,国际商标,100.0,2024-08-02,发布
邱邱邱,APP界面设计,688.0,2024-11-08,发布
致利昂lXrlL,网站UI设计,2000.0,2024-06-27,发布
开设堂siFPo,网站UI设计,1400.0,2024-06-20,发布
大冰老师,餐饮,300.0,2024-01-25,发布
o5c8cffda3baf6,商城建设,2000.0,2024-12-31,发布
ttw1988,其他工具软件,1600.0,2024-12-27,发布
k6910****21,小程序开发,4000.0,2024-12-27,发布
威服致尚BZYgb,APP开发,500.0,2024-12-26,发布
积点信息,APP开发,2000.0,2024-12-26,发布
o5dbf92f2db3dd,手机网站,1500.0,2024-12-26,发布
jinbuhuan,微信开发,1200.0,2024-12-25,发布
Trance豆腐,小程序开发,2000.0,2024-12-24,发布
o5b38ab9dcd21f,前端开发,4500.0,2024-12-22,发布
k3767****63,小程序开发,2880.0,2024-12-19,发布
运筹威幄3LC9L,其他软件开发,800.0,2024-12-18,发布
优社J4X7Y,其他网站,600.0,2024-12-14,发布
o5bcd3d38b363a,前端开发,7000.0,2024-12-14,发布
华创RMoFQ,APP开发,1000.0,2024-12-12,发布
友森联创,其他工具软件,1600.0,2024-12-09,发布
Alf_1,手机网站,6000.0,2024-12-08,发布
慧萌傻白鸽,其他软件开发,1000.0,2024-12-06,发布
威高59Lei,小程序开发,500.0,2024-12-06,发布
k9228****98,小程序开发,1500.0,2024-12-06,发布
k5282****90,软件UI设计,3500.0,2024-12-06,发布
o5ed0210aac60f,商城建设,1000.0,2024-12-05,发布
益企发0zMNl,小程序开发,8000.0,2024-12-02,发布
龙致恩EGUjS,小程序开发,1000.0,2024-12-02,发布
o5c8cffda3baf6,门户网站,1500.0,2024-12-01,发布
o5e69****35277,小程序开发,1000.0,2024-11-30,发布
