Year,Knowledge,Frequency,Rank
2017,原创,1407,1
2017,大气,714,2
2017,简洁,676,3
2017,知识产权,640,4
2017,视觉冲击力,450,5
2017,明快,422,6
2017,LOGO设计,358,7
2017,LOGO,331,8
2017,品牌标识突出,307,9
2017,版权合规,305,10
2017,醒目易识别,268,11
2017,著作权,261,12
2017,商标注册,243,13
2017,年轻人,242,14
2017,发布权,225,15
2017,使用权,225,16
2017,知识产权合规,182,17
2017,企业官网,178,18
2017,简约,177,19
2017,时尚,169,20
2017,知识产权说明,147,21
2017,微信,123,22
2017,未侵犯他人著作权,122,23
2017,简单,120,24
2017,注册商标,120,25
2017,易记,113,26
2017,名片,107,27
2017,公司LOGO,101,28
2017,logo设计,96,29
2017,微信公众号,84,30
2017,创意,80,31
2017,品牌起名,79,32
2017,简洁大方,79,33
2017,网站,74,34
2017,名片设计,74,35
2017,小程序开发,73,36
2017,消费者,72,37
2017,logo,71,38
2017,创意说明,70,39
2017,Photoshop,69,40
2017,公司,68,41
2017,科技感,68,42
2017,大方,67,43
2017,VI设计,66,44
2017,朗朗上口,65,45
2017,原创设计,64,46
2017,可注册商标,63,47
2017,公司logo,62,48
2017,客户,59,49
2017,设计师,59,50
2017,原创作品,59,51
2017,APP,57,52
2017,AI,57,53
2017,未侵犯著作权,56,54
2017,图形,54,55
2017,易识别,54,56
2017,有创意,53,57
2017,国际化,52,58
2017,简洁大气,51,59
2017,CDR,51,60
2017,高端,49,61
2017,APP开发,49,62
2017,文字,48,63
2017,PSD,48,64
2017,QQ,47,65
2017,美观,46,66
2017,包装设计,45,67
2017,用户,45,68
2017,矢量图形源文件,45,69
2017,名称响亮,44,70
2017,公司名称,44,71
2017,矢量图,43,72
2017,二维码,43,73
2017,公众号,42,74
2017,品牌取名,42,75
2017,商标,42,76
2017,开发,41,77
2017,原创性,41,78
2017,简洁明了,41,79
2017,文雅,40,80
2017,绿色,39,81
2017,简约大气,39,82
2017,新颖,39,83
2017,字体设计,38,84
2017,高端大气,38,85
2017,网站UI设计,37,86
2017,简单大方,36,87
2017,注册,36,88
2017,小程序,36,89
2017,企业,36,90
2017,游戏代练,35,91
2017,第一次发布,35,92
2017,游戏试玩,35,93
2017,餐饮品牌,34,94
2017,品牌名称,34,95
2017,广告语,33,96
2017,创新,33,97
2017,现代,32,98
2017,试玩平台,32,99
2017,健康,32,100
