year,active_core_nodes,total_core_nodes,system_knowledge_density
2015,72,102,171.04166666666666
2016,75,102,192.01333333333332
2017,76,102,246.71052631578948
2018,90,102,200.77777777777777
2019,91,102,254.5164835164835
2020,91,102,158.4065934065934
2021,95,102,56.78947368421053
2022,87,102,33.758620689655174
2023,82,102,25.317073170731707
2024,85,102,15.882352941176471
