year,active_core_nodes,total_core_nodes,mean_active_node_size,system_knowledge_density,density_at_mean_size,"interval_prob_[0,mean]",density_peak_position,density_std
2015,72,102,171.04166666666666,0.0012993825469977181,0.0013089476364689335,0.24149797713403,57.08408408408408,0.00035351937491172764
2016,75,102,192.01333333333332,0.0015911632468115,0.001410500522944902,0.3398016342352066,47.78278278278278,0.0006171199259198106
2017,76,102,246.71052631578948,0.0012843037024109084,0.0011595887430459742,0.36035743805509163,71.08608608608608,0.0005003435534584989
2018,90,102,200.77777777777777,0.0016085234583500003,0.0015106120682833737,0.36732340446179074,69.47747747747748,0.0005896001915379862
2019,91,102,254.5164835164835,0.0011848793091501217,0.001138796633948739,0.3366106531201683,86.4014014014014,0.00039461019063434115
2020,91,102,158.4065934065934,0.001885844365425226,0.001827178268522366,0.33308886734100057,56.330330330330334,0.0006088181716411575
2021,95,102,56.78947368421053,0.005789311721427022,0.005240917031321785,0.36619833053893647,18.89089089089089,0.0021588049370494192
2022,87,102,33.758620689655174,0.009735754501109733,0.009263181229198428,0.3683512602866742,13.062062062062061,0.0033616716495570766
2023,82,102,25.317073170731707,0.013870524146661992,0.01371370301570024,0.4086071514589005,11.185185185185185,0.0051001323554226985
2024,85,102,15.882352941176471,0.020705131292231206,0.021024035054598864,0.38102170997169826,6.955955955955956,0.006816068938440997
