Source,Target,Type
A244146,动漫其他,发布
B244146,动漫其他,完成
A244149,封面设计,发布
B244149,封面设计,完成
A244241,小程序开发,发布
B244241,小程序开发,完成
A244266,动漫其他,发布
B244266,动漫其他,完成
A244288,产品外观设计,发布
B244288,产品外观设计,完成
A244328,企业官网,发布
B244328,企业官网,完成
A244408,网站UI设计,发布
B244408,网站UI设计,完成
A244435,软件UI设计,发布
B244435,软件UI设计,完成
A244461,海报设计,发布
B244461,海报设计,完成
A244516,网站UI设计,发布
B244516,网站UI设计,完成
A244519,APP开发,发布
B244519,APP开发,完成
A244535,小程序开发,发布
B244535,小程序开发,完成
A244549,网站优化方案,发布
B244549,网站优化方案,完成
A244581,广告设计,发布
B244581,广告设计,完成
A244600,3D建模,发布
B244600,3D建模,完成
A244683,电商网站,发布
B244683,电商网站,完成
A244690,电商网站,发布
B244690,电商网站,完成
A244723,APP开发,发布
B244723,APP开发,完成
A244802,商业提案,发布
B244802,商业提案,完成
A244836,VI设计,发布
B244836,VI设计,完成
A244848,企业官网,发布
B244848,企业官网,完成
A244852,小程序开发,发布
B244852,小程序开发,完成
A244865,网站UI设计,发布
B244865,网站UI设计,完成
A244867,企业官网,发布
B244867,企业官网,完成
A244963,企业官网,发布
B244963,企业官网,完成
A244988,产品外观设计,发布
B244988,产品外观设计,完成
A245000,VI设计,发布
B245000,VI设计,完成
A245009,VI设计,发布
B245009,VI设计,完成
A245127,电商网站,发布
B245127,电商网站,完成
A245139,包装设计,发布
B245139,包装设计,完成
A245284,其他工业设计,发布
B245284,其他工业设计,完成
A245285,其他工业设计,发布
B245285,其他工业设计,完成
A245304,产品外观设计,发布
B245304,产品外观设计,完成
A245322,前端开发,发布
B245322,前端开发,完成
A245385,广告设计,发布
B245385,广告设计,完成
A245388,其他软件开发,发布
B245388,其他软件开发,完成
A245401,小程序开发,发布
B245401,小程序开发,完成
A245405,LOGO设计,发布
B245405,LOGO设计,完成
A245436,LOGO设计,发布
B245436,LOGO设计,完成
A245492,APP开发,发布
B245492,APP开发,完成
A245512,前端开发,发布
B245512,前端开发,完成
A245627,产品外观设计,发布
B245627,产品外观设计,完成
A245637,专业代笔,发布
B245637,专业代笔,完成
A245685,小程序开发,发布
B245685,小程序开发,完成
A245709,印刷出版,发布
B245709,印刷出版,完成
A245714,背景墙设计,发布
B245714,背景墙设计,完成
A245718,电商网站,发布
B245718,电商网站,完成
A245759,产品推广,发布
B245759,产品推广,完成
A245768,网站UI设计,发布
B245768,网站UI设计,完成
A245778,图片处理,发布
B245778,图片处理,完成
A245779,插画设计,发布
B245779,插画设计,完成
A245785,产品外观设计,发布
B245785,产品外观设计,完成
A245788,APP开发,发布
B245788,APP开发,完成
A245897,前端开发,发布
B245897,前端开发,完成
A245903,小程序开发,发布
B245903,小程序开发,完成
A245991,手游开发,发布
B245991,手游开发,完成
A246006,APP开发,发布
B246006,APP开发,完成
A246013,企业官网,发布
B246013,企业官网,完成
A246017,卡通形象设计,发布
B246017,卡通形象设计,完成
A246018,海报设计,发布
B246018,海报设计,完成
A246026,宣传册设计,发布
B246026,宣传册设计,完成
A246029,LOGO设计,发布
B246029,LOGO设计,完成
A246033,数据录入,发布
B246033,数据录入,完成
A246046,FLASH制作,发布
B246046,FLASH制作,完成
A246051,海报设计,发布
B246051,海报设计,完成
A246076,网站UI设计,发布
B246076,网站UI设计,完成
A246083,海报设计,发布
B246083,海报设计,完成
A246084,LOGO设计,发布
B246084,LOGO设计,完成
A246085,其他工业设计,发布
B246085,其他工业设计,完成
A246100,网站UI设计,发布
B246100,网站UI设计,完成
A246121,背景墙设计,发布
B246121,背景墙设计,完成
A246212,其他工业设计,发布
B246212,其他工业设计,完成
A246218,网站UI设计,发布
B246218,网站UI设计,完成
A246256,手游开发,发布
B246256,手游开发,完成
A246264,小程序开发,发布
B246264,小程序开发,完成
A246268,其他工业设计,发布
B246268,其他工业设计,完成
A246292,APP开发,发布
B246292,APP开发,完成
A246323,网站UI设计,发布
B246323,网站UI设计,完成
A246325,APP开发,发布
B246325,APP开发,完成
A246355,卡通形象设计,发布
B246355,卡通形象设计,完成
A246368,动漫其他,发布
B246368,动漫其他,完成
A246386,LOGO设计,发布
B246386,LOGO设计,完成
A246427,微信开发,发布
B246427,微信开发,完成
A246515,网站UI设计,发布
B246515,网站UI设计,完成
A246544,企业官网,发布
B246544,企业官网,完成
A246607,企业官网,发布
B246607,企业官网,完成
A246615,漫画设计,发布
B246615,漫画设计,完成
