标题,browser,字段1,价格,status
【广告设计】年夜饭广告宣传,3052人,1人,¥100,待验收
【海报设计】小创意设计,5901人,1人,¥200,待验收
【LOGO设计】设计一个标签,3050人,1人,¥60,待验收
【LOGO设计】商标字体logo和VI设计,1549人,1人,¥299,待验收
【LOGO设计】需要一套名片设计,2652人,1人,¥10,待验收
【LOGO设计】个人签名LOGO设计,1542人,1人,¥300,待验收
【LOGO设计】深圳前海德莱科技有限公司名片和背景墙设计,1773人,1人,¥100,待验收
【LOGO设计】LOGO及名片设计,1999人,1人,¥100,待验收
【VI设计】“﻿﻿十一路车﻿﻿”商标、VI等设计注册及设计作品转让,3097人,1人,¥7000,工作中
【背景墙设计】两大八小展板设计,2478人,1人,¥500,待验收
【LOGO设计】设计自行车logo贴花,4269人,1人,¥366,待验收
【海报设计】海报设计,17人,1人,¥50,圆满完成
【包装设计】瓶标+外盒 包装设计,64人,1人,¥1680,圆满完成
【排版设计】绘本内页图制作​,17人,1人,¥1200,圆满完成
【包装设计】茶叶包装,19人,1人,¥2000,圆满完成
【LOGO设计】Logo含图案十文字，图案为“蛇鸟”简化或抽象形式，,9人,1人,¥400,圆满完成
【包装设计】瓶贴/标签设计,10人,1人,¥350,圆满完成
【LOGO设计】LOGO设计,25人,1人,¥300,圆满完成
【封面设计】封面设计,30人,1人,¥500,圆满完成
【LOGO设计】《万物代码》logo,13人,1人,¥350,圆满完成
【海报设计】ai生成绘本,59人,1人,¥400,圆满完成
【包装设计】宠物食品包装袋设计,16人,1人,¥1000,圆满完成
【LOGO设计】公司LOGO设计,79人,1人,¥200,圆满完成
【背景墙设计】主题书房设计,30人,1人,¥2400,圆满完成
【店铺装修】1688首页设计,14人,1人,¥268,圆满完成
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商设计,49人,1人,¥1150,圆满完成
【店铺装修】1688首页设计,27人,1人,¥288,圆满完成
,,,,
【3D建模】玩具3d建模,501人,1人,¥2500,圆满完成
【3D建模】卡片机3d建模,137人,1人,¥500,圆满完成
【LOGO设计】logo设计,104人,1人,¥5814,圆满完成
【产品结构设计】智能手表产品结构设计,17人,1人,¥1300,圆满完成
【H5设计】手机端设计,35人,1人,¥3300,圆满完成
【产品结构设计】便携式榨汁杯产品结构设计,13人,1人,¥1000,圆满完成
【LOGO设计】品牌设计,17人,1人,¥3600,圆满完成
【展台设计】有图片，有内容，自由搭配，达到做好视觉效果,32人,1人,¥500,圆满完成
【LOGO设计】商旅 logo 设计,17人,1人,¥550,圆满完成
【产品结构设计】智能穿戴设备结构设计,9人,1人,¥1500,圆满完成
【海报设计】彩页的设计,29人,1人,¥80,圆满完成
【海报设计】:婴儿食品公司新品 想找接单美工,41人,1人,¥40,圆满完成
【LOGO设计】产品字体设计,32人,1人,¥500,圆满完成
【LOGO设计】以369为核心设计企业logo,45人,1人,¥800,圆满完成
【插画设计】杯子设计+纸托设计+设计说明尾款50%,41人,1人,¥750,圆满完成
【包装设计】杯子设计+纸托设计+设计说明定金50%,29人,1人,¥750,圆满完成
【VI设计】ui设计需求,19人,1人,¥1500,圆满完成
【LOGO设计】详情页+主图+SKU,41人,1人,¥500,圆满完成
【详情页设计】详情页设计电商海报轮播图主图,90人,1人,¥300,圆满完成
【VI设计】叶面肥瓶签设计,16人,1人,¥600,圆满完成
【LOGO设计】商标设计,28人,1人,¥3300,圆满完成
【彩页设计】彩印书籍排版设计,27人,1人,¥8150,圆满完成
【VI设计】UI设计需求,34人,1人,¥4000,圆满完成
【LOGO设计】简单大气,30人,1人,¥50,圆满完成
【VI设计】食品品牌设计,26人,1人,¥9500,圆满完成
【PPT设计】厦门小吃餐厅logo和VI设计,24人,1人,¥25,圆满完成
【LOGO设计】LOGO改版,39人,1人,¥200,圆满完成
【详情页设计】详情页设计电商海报轮播图主图,90人,1人,¥200,圆满完成
【PPT设计】商业计划书服务,24人,1人,¥12472,圆满完成
【LOGO设计】商标设计,44人,1人,¥800,圆满完成
,,,,
【3D建模】古代人物建模,185人,1人,¥3000,圆满完成
【LOGO设计】《万物代码》英文logo,65人,1人,¥800,圆满完成
【LOGO设计】《万物代码》中英logo,56人,1人,¥300,圆满完成
【主图设计】详情页设计PS修图主图设计海报设计产品描述制作美工设计,127人,1人,¥320,圆满完成
【书籍装帧】装帧排版设计,27人,1人,¥5200,圆满完成
【画册设计】纪念册设计,36人,1人,¥6120,圆满完成
【VI设计】名优土特产品牌设计,29人,1人,¥9980,圆满完成
【包装设计】系列食品包装设计,23人,1人,¥5280,圆满完成
【LOGO设计】服装品牌设计,16人,1人,¥4990,圆满完成
【书籍装帧】装帧排版设计,19人,1人,¥5600,圆满完成
【宣传册设计】排版画册平面广告海报展板单页排版设计,55人,1人,¥1100,圆满完成
【动漫其他】模型处理,409人,1人,¥7000,圆满完成
【包装设计】产品的包装设计 确定合作者,96人,1人,¥3500,圆满完成
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商设计,67人,1人,¥1350,圆满完成
【书籍装帧】一本书装帧排版设计,37人,1人,¥9600,圆满完成
【动漫其他】鞭子动画数据处理,81人,1人,¥1500,圆满完成
【包装设计】包装设计,30人,1人,¥6000,圆满完成
【动漫其他】3d模型处理工作补充,161人,1人,¥6400,圆满完成
【动漫其他】建筑物模块化拆分,58人,1人,¥3500,圆满完成
【3D建模】模型,251人,1人,¥10,圆满完成
【排版设计】刊物排版设计,38人,1人,¥6180,圆满完成
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,30人,1人,¥10,圆满完成
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,28人,1人,¥10,圆满完成
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,19人,1人,¥10,圆满完成
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,22人,1人,¥10,圆满完成
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,29人,1人,¥10,圆满完成
【动漫其他】骨骼绑定，动画位移清除等工作,53人,1人,¥3900,圆满完成
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,18人,1人,¥10,圆满完成
【PPT设计】PPT设计课件代制作设计美化修改幻灯片工作汇报比赛,37人,1人,¥10,圆满完成
【背景墙设计】文化墙设计服务,126人,1人,¥800,圆满完成
,,,,
【详情页设计】详情页设计淘宝短视频平台天猫美团亚马逊电商美工包月拍摄整,94人,1人,¥1700,圆满完成
【LOGO设计】品牌LOGO设计,35人,1人,¥4280,圆满完成
【动漫角色设计】2个模块化男性角色建模,261人,1人,¥10000,圆满完成
【店铺装修】海报设计,103人,1人,¥1500,圆满完成
【交互设计】小程序原设计设计,30人,1人,¥100,圆满完成
【动漫角色设计】3d人物模块化建模设计,167人,1人,¥5000,圆满完成
【动漫角色设计】3d人物建模,168人,1人,¥5000,圆满完成
【动漫其他】动捕数据精修,35人,1人,¥2500,圆满完成
【动漫其他】6个模型骨骼绑定，1个模型刷UE5布料,55人,1人,¥1400,圆满完成
