标题,browser,字段1,价格,status
【包装设计】摩托车贴花设计,259人,1人,¥1300,圆满完成
【LOGO设计】微信小程序定制开发,138人,1人,¥15800,圆满完成
【卡通形象设计】吉祥物设计,869人,1人,¥2500,圆满完成
【LOGO设计】UI/平面/包装设计,111人,1人,¥1000,圆满完成
【包装设计】画册设计,216人,1人,¥4950,圆满完成
【包装设计】包装设计,324人,1人,¥9960,圆满完成
,,,,
【插画设计】蝴蝶人构面印花图案设计,1010人,1人,¥300,圆满完成
【LOGO设计】俱乐部LOGO设计,195人,1人,¥1680,圆满完成
【VI设计】教育行业品牌vi设计,499人,1人,¥20000,圆满完成
【店铺装修】淘宝店铺装修,314人,1人,¥1150,圆满完成
【LOGO设计】logo设计,143人,1人,¥1200,圆满完成
【LOGO设计】logo设计,94人,1人,¥1000,圆满完成
【LOGO设计】logo设计,112人,1人,¥1500,圆满完成
【LOGO设计】手绘系列插画设计,459人,1人,¥48000,圆满完成
【LOGO设计】logo设计,195人,1人,¥1300,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,113人,1人,¥1800,圆满完成
【PPT设计】PPT定制,327人,1人,¥500,圆满完成
【LOGO设计】logo设计,118人,1人,¥1000,圆满完成
【宣传单设计】星石烧烤新店开业宣传海报设计,380人,1人,¥1960,圆满完成
【排版设计】杂志排版设计,174人,1人,¥7680,圆满完成
【VI设计】湿巾vi设计,720人,1人,¥5000,圆满完成
【VI设计】烤鱼品牌策划,591人,1人,¥5000,圆满完成
【宣传册设计】小程序,650人,1人,¥37000,圆满完成
【VI设计】做一套只要应用的VI,347人,1人,¥3500,圆满完成
【PPT设计】有创意感现代感的公司简介,225人,1人,¥3500,圆满完成
【宣传册设计】画册设计,330人,1人,¥9990,圆满完成
【VI设计】官网设计,341人,1人,¥5000,圆满完成
【LOGO设计】2020团体活动标志设计,146人,1人,¥2800,圆满完成
【包装设计】UI设计小程序,152人,1人,¥18501,圆满完成
【包装设计】UI设计小程序,188人,1人,¥24010,圆满完成
【包装设计】建材包装设计,287人,1人,¥30151,圆满完成
【VI设计】建材装饰包装设计,221人,1人,¥38562,圆满完成
【VI设计】建材装饰VI设计+网站建设,131人,1人,¥37601,圆满完成
【宣传册设计】宣传画册丨专业原创设计定制企业宣传册公司介绍润色代做美化,261人,1人,¥538,圆满完成
【LOGO设计】logo设计,143人,1人,¥1800,圆满完成
【LOGO设计】logo设计,139人,1人,¥1500,圆满完成
,,,,
【LOGO设计】圣宝品牌设计,263人,1人,¥45600,圆满完成
【LOGO设计】logo设计,86人,1人,¥1200,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,129人,1人,¥3500,圆满完成
【LOGO设计】旭旭小锅米线logo设计,460人,1人,¥688,圆满完成
【海报设计】汽车产品,360人,1人,¥450,圆满完成
【H5设计】吊车系统设计,694人,1人,¥2000,圆满完成
【宣传册设计】书籍装帧第六期,356人,1人,¥18000,圆满完成
【海报设计】微信地产海报设计，疫情期宣传长图，植树节，三八妇女节等,656人,1人,¥3000,圆满完成
【店铺装修】【电商设计】电商设计整店装修天猫淘宝京东商城,192人,1人,¥20000,圆满完成
【宣传单设计】好味道快餐店新店开业宣传海报设计,426人,1人,¥1970,圆满完成
【VI设计】vi设计,313人,1人,¥4544,圆满完成
【排版设计】设计公司的样册,312人,1人,¥529,圆满完成
【VI设计】学校网站首页面设计,528人,1人,¥300,圆满完成
【包装设计】包装设计,348人,1人,¥1500,圆满完成
【LOGO设计】VIS视觉系统试用版,64人,1人,¥1000,圆满完成
【LOGO设计】游戏公司vis设计,110人,1人,¥8800,圆满完成
【店铺装修】【电商设计】电商设计整店装修天猫淘宝京东商城,190人,1人,¥30000,圆满完成
【包装设计】包装,280人,1人,¥37000,圆满完成
【宣传册设计】画册设计,206人,1人,¥8350,圆满完成
【动漫其他】霸龙兽动漫原型设计,509人,1人,¥1980,圆满完成
【产品外观设计】设计儿童电动车,1406人,1人,¥24493,圆满完成
【LOGO设计】桑葚海报,119人,1人,¥100,圆满完成
【LOGO设计】LOGO设计,173人,1人,¥3000,圆满完成
【LOGO设计】logo设计,118人,1人,¥1800,圆满完成
【LOGO设计】logo设计,134人,1人,¥1200,圆满完成
【LOGO设计】logo设计,104人,1人,¥1500,圆满完成
【包装设计】保健品包装设计系列,419人,1人,¥40000,圆满完成
【LOGO设计】美膜美样 小黄人防晒喷雾,275人,1人,¥8856,圆满完成
【包装设计】已和服务商沟通好,319人,1人,¥5500,圆满完成
【宣传单设计】美发工作室宣传彩页，类似小广告那种，要求主题时尚，内容新颖有宣传力。,547人,1人,¥200,圆满完成
,,,,
【LOGO设计】电子边灯设计,319人,1人,¥49977,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,119人,1人,¥3590,圆满完成
【宣传册设计】扶摇公司宣传册设计,745人,1人,¥100,圆满完成
【详情页设计】需要拍摄几款玻璃杯和详情页设计,210人,1人,¥2000,圆满完成
【LOGO设计】企业LOGO设计,348人,1人,¥800,圆满完成
【PPT设计】PPT设计,204人,1人,¥200,圆满完成
【海报设计】地产海报设计一起13张,667人,1人,¥21000,圆满完成
【包装设计】系列包装设计,424人,1人,¥5000,圆满完成
【H5设计】按照原型和参照风格设计H5界面（找个人）,845人,1人,¥4000,圆满完成
【宣传单设计】品牌策划,382人,1人,¥5000,圆满完成
【LOGO设计】logo设计手绘,209人,1人,¥2000,圆满完成
【LOGO设计】logo设计,220人,1人,¥1500,圆满完成
【LOGO设计】包装设计,173人,1人,¥1500,圆满完成
【LOGO设计】服装logo设计,241人,1人,¥1000,圆满完成
【包装设计】玩具包装设计系列,339人,1人,¥30000,圆满完成
【LOGO设计】已和服务商沟通好,261人,1人,¥1500,圆满完成
【VI设计】食品包装设计系列,456人,1人,¥45000,圆满完成
【包装设计】包装设计,233人,1人,¥2400,圆满完成
【宣传单设计】魔都玩吧新店开业宣传海报设计,428人,1人,¥1970,圆满完成
【LOGO设计】公司logo设计,149人,1人,¥800,圆满完成
【包装设计】包装盒设计,573人,1人,¥3680,圆满完成
【包装设计】设计瓶贴,342人,1人,¥200,圆满完成
【VI设计】餐饮vi设计,208人,1人,¥20000,圆满完成
【包装设计】包装设计,373人,1人,¥5000,圆满完成
【宣传册设计】扶摇公司宣传册设计,135人,1人,¥700,圆满完成
【LOGO设计】LOGO设计，已和威客沟通,416人,1人,¥500,圆满完成
【LOGO设计】LOGO设计,220人,1人,¥3588,圆满完成
【礼品设计】食品包装,638人,1人,¥2998,圆满完成
【礼品设计】礼盒包装,663人,1人,¥2999,圆满完成
【书籍装帧】产品使用手册排版设计,578人,1人,¥5500,圆满完成
,,,,
【LOGO设计】红果绿蔬补水面膜设计生产包装,277人,1人,¥49998,圆满完成
【展示设计】外墙视觉设计,606人,1人,¥50000,圆满完成
【产品外观设计】医院环境设备建模设计项目尾款,1730人,1人,¥16000,圆满完成
【宣传册设计】app,519人,1人,¥36000,圆满完成
【包装设计】茶叶行业新款包装设计手绘要求,352人,1人,¥16000,圆满完成
【包装设计】小程序开发,136人,1人,¥14900,圆满完成
【LOGO设计】已和服务商沟通,202人,1人,¥1000,圆满完成
【LOGO设计】已和服务商沟通,135人,1人,¥1500,圆满完成
【海报设计】海報設計,537人,1人,¥1600,圆满完成
【VI设计】Vi设计,593人,1人,¥3000,圆满完成
【动漫角色设计】幽冥啸天虎动漫形象设计,628人,1人,¥1980,圆满完成
【产品外观设计】日用餐具设计,1549人,1人,¥28000,圆满完成
【书籍装帧】画册设计,946人,1人,¥10500,圆满完成
【VI设计】【杜与企业VI设计】套餐F,188人,1人,¥13200,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,126人,1人,¥9954,圆满完成
【PPT设计】优化PPT,302人,1人,¥305,圆满完成
【海报设计】海报设计5张,393人,1人,¥2200,圆满完成
【包装设计】包装设计,410人,1人,¥36000,圆满完成
【包装设计】包装设计,141人,1人,¥9998,圆满完成
【LOGO设计】健康产业logo设计,178人,1人,¥1000,圆满完成
【VI设计】客户整套VI 设计,403人,1人,¥5000,圆满完成
【书籍装帧】手册制作,427人,1人,¥5000,圆满完成
【其他宣传品设计】万意烤羊排新店开业宣传海报设计,717人,1人,¥1980,圆满完成
【宣传册设计】样册设计,647人,1人,¥500,圆满完成
【产品外观设计】花园雕塑设计项目尾款,1409人,1人,¥20000,圆满完成
【LOGO设计】音箱包装设计生产,203人,1人,¥49964,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,107人,1人,¥3964,圆满完成
【产品外观设计】设计机器狗,1367人,1人,¥24389,圆满完成
【包装设计】电子零售系统开发,117人,1人,¥29900,圆满完成
【LOGO设计】log包装设计,284人,1人,¥6800,圆满完成
,,,,
【吉祥物设计】卡通形象设计--企业卡通形象，吉祥物设计,773人,1人,¥1800,圆满完成
【宣传册设计】画册设计,174人,1人,¥9990,圆满完成
【吉祥物设计】吉祥物,790人,1人,¥1000,圆满完成
【LOGO设计】零售品牌LOGO设计,129人,1人,¥2800,圆满完成
【交互设计】设计优化界面,901人,1人,¥1500,圆满完成
【宣传册设计】画册设计,173人,1人,¥9980,圆满完成
【手提袋设计】包装设计,809人,1人,¥9800,圆满完成
【手提袋设计】手提袋设计,1012人,1人,¥9899,圆满完成
【包装设计】产品包装盒设计,260人,1人,¥4500,圆满完成
【LOGO设计】logo设计,285人,1人,¥650,圆满完成
【彩页设计】H5设计,360人,1人,¥3000,圆满完成
【VI设计】VI补款,266人,1人,¥3000,圆满完成
【彩页设计】海报设计,485人,1人,¥5000,圆满完成
【包装设计】半干面外袋包装设计,487人,1人,¥2000,圆满完成
【LOGO设计】NEW设计,176人,1人,¥4500,圆满完成
【LOGO设计】家具logo设计,180人,1人,¥500,圆满完成
【LOGO设计】LOGO设计，要求原创,230人,1人,¥800,圆满完成
【礼品设计】孝廉讲堂画册设计,682人,1人,¥4000,圆满完成
【礼品设计】孝廉讲堂设计,732人,1人,¥4500,圆满完成
【LOGO设计】企业logo设计,164人,1人,¥100,圆满完成
【宣传册设计】画册设计,299人,1人,¥9998,圆满完成
【VI设计】茶叶VI系列设计,238人,1人,¥30000,圆满完成
【VI设计】一款logo+2款包装设计,397人,1人,¥1000,圆满完成
【动漫角色设计】深海魔鲸动漫形象设计,499人,1人,¥1970,圆满完成
【排版设计】彩印画报合订本,224人,1人,¥7200,圆满完成
【海报设计】海报设计两张,499人,1人,¥990,圆满完成
【LOGO设计】LOGO设计,195人,1人,¥2580,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,153人,1人,¥46500,圆满完成
【宣传册设计】画册设计,301人,1人,¥9960,圆满完成
【店铺装修】【电商设计】电商设计整店装修天猫淘宝京东商城,332人,1人,¥9000,圆满完成
,,,,
【排版设计】产品使用说明书版式设计,464人,1人,¥4800,圆满完成
【包装设计】电子零售系统开发,143人,1人,¥34000,圆满完成
【VI设计】餐厅标识、餐饮周边宣传VI设计,241人,1人,¥400,圆满完成
【LOGO设计】MG抖音设计,520人,1人,¥8999,圆满完成
【包装设计】消毒液包装设计,362人,1人,¥1000,圆满完成
【VI设计】佛跳墙VI及包装设计,126人,1人,¥21000,圆满完成
【包装设计】高端印刷,130人,1人,¥9980,圆满完成
【包装设计】包装设计,260人,1人,¥9958,圆满完成
【宣传单设计】香香烤翅新店开业宣传海报设计,326人,1人,¥1960,圆满完成
【LOGO设计】LOGO设计 商标优化 品牌商标全案 原创LOGO,322人,1人,¥400,圆满完成
【海报设计】停车场海报,262人,1人,¥500,圆满完成
【家电数码】做个加湿器外观结构,2718人,1人,¥30000,圆满完成
【海报设计】安心社区展板设计,250人,1人,¥2000,圆满完成
【VI设计】【资深设计】-VIS设计,204人,1人,¥13000,圆满完成
【LOGO设计】凯力迪品牌设计,188人,1人,¥35000,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,146人,1人,¥5000,圆满完成
【宣传册设计】宣传册设计,370人,1人,¥3000,圆满完成
【VI设计】网站建设,113人,1人,¥25801,圆满完成
【VI设计】logo 包装设计,180人,1人,¥30501,圆满完成
【VI设计】logo VI设计,325人,1人,¥37580,圆满完成
【礼品设计】艾草行业礼品盒设计,720人,1人,¥4000,圆满完成
【详情页设计】产品详情图一套,720人,1人,¥600,圆满完成
【LOGO设计】LOGO:马来山农场,148人,1人,¥100,圆满完成
【动漫角色设计】树灵幽狼动漫形象设计,444人,1人,¥1980,圆满完成
【包装设计】【资深设计师】包装设计,190人,1人,¥2999,圆满完成
【包装设计】设计样本外观,473人,1人,¥200,圆满完成
【LOGO设计】LOGO商标设计 食品/学校/医院/服装/奢侈品/工程/互联网/科技/ 金融/地产/餐饮/娱乐,614人,1人,¥1500,圆满完成
【书籍装帧】企业内部交流杂志装帧设计升级,821人,1人,¥9600,圆满完成
【宣传册设计】建筑公司宣传册设计_此为试稿,392人,1人,¥200,圆满完成
【LOGO设计】Logo設計,190人,1人,¥1800,圆满完成
,,,,
【产品外观设计】摩托车贴花设计,1417人,1人,¥1100,圆满完成
【LOGO设计】耳机设计生产,207人,1人,¥48976,圆满完成
【LOGO设计】MG动画设计,459人,1人,¥6020,圆满完成
【广告设计】包装设计,282人,1人,¥40000,圆满完成
【LOGO设计】建筑公司LOGO,252人,1人,¥299,圆满完成
【包装设计】小米包装设计,213人,1人,¥400,圆满完成
【宣传单设计】酷玩箭吧新店开业宣传海报设计,323人,1人,¥1970,圆满完成
【LOGO设计】中能乐厨,387人,1人,¥400,圆满完成
【插画设计】关于城市徽章与城堡的设计,1092人,1人,¥4500,圆满完成
【活动页设计】大专水平软件技术实践报告4份电子版代写,517人,1人,¥160,圆满完成
【排版设计】高端印刷,394人,1人,¥9800,圆满完成
【产品外观设计】摩托车贴花设计,1489人,1人,¥1100,圆满完成
【VI设计】制作一个服装公司的VI设计,666人,1人,¥30000,圆满完成
【LOGO设计】保健品行业标志设计,209人,1人,¥3400,圆满完成
【LOGO设计】蓝牙耳机JM 设计包装生产,249人,1人,¥45000,圆满完成
【LOGO设计】0220SUPER设计,197人,1人,¥5000,圆满完成
【VI设计】企业VI设计,239人,1人,¥5000,圆满完成
【其他设计】商业模式扑克,763人,1人,¥200,圆满完成
【LOGO设计】集团logo设计,252人,1人,¥10000,圆满完成
【动漫角色设计】吞天蟒动漫形象设计,412人,1人,¥1980,圆满完成
【LOGO设计】Logo设计,127人,1人,¥1200,圆满完成
【包装设计】YUEDGE品牌设计,220人,1人,¥40000,圆满完成
【包装设计】【设计总监】包装设计 3套方案,166人,1人,¥6000,圆满完成
【LOGO设计】LOGO设计,445人,1人,¥300,圆满完成
【宣传单设计】好运斋古玩店开业宣传海报设计,323人,1人,¥1970,圆满完成
【机械设备】毕业设计,3145人,1人,¥1700,圆满完成
【包装设计】包装设计,157人,1人,¥4999,圆满完成
【LOGO设计】做个品牌logo,202人,1人,¥1000,圆满完成
【LOGO设计】科技公司LOGO设计,310人,1人,¥1000,圆满完成
【机械设备】设计,2403人,1人,¥1500,圆满完成
,,,,
【其他宣传品设计】接单宣传,713人,1人,¥2000,圆满完成
【LOGO设计】酒店logo,298人,1人,¥5498,圆满完成
【LOGO设计】LOGO设计,256人,1人,¥1000,圆满完成
【LOGO设计】LOGO设计,225人,1人,¥4880,圆满完成
【VI设计】企业公司LOGO,317人,1人,¥9500,圆满完成
【广告设计】虾侬一跳广告板设计,321人,1人,¥500,圆满完成
【店铺装修】【电商设计】电商设计店铺首页设计天猫淘宝京东商城,449人,1人,¥40000,圆满完成
【台历设计】商业插画设计,1306人,1人,¥3700,圆满完成
【其他宣传品设计】宣传册设计,865人,1人,¥5799,圆满完成
【VI设计】企业VI设计,229人,1人,¥3700,圆满完成
【VI设计】企业VI系统套餐,222人,1人,¥8800,圆满完成
【LOGO设计】皙妮美颈霜包装设计,175人,1人,¥48000,圆满完成
【包装设计】彩页设计,643人,1人,¥140,圆满完成
【LOGO设计】设计logo,212人,1人,¥12000,圆满完成
【VI设计】集团子产品画册设计,142人,1人,¥4000,圆满完成
【手提袋设计】手提袋设计,735人,1人,¥4900,圆满完成
【动漫角色设计】七彩独角兽动漫角色设计,345人,1人,¥1980,圆满完成
【LOGO设计】海报设计,317人,1人,¥100,圆满完成
【3D建模】游戏人物手绘模型,2232人,1人,¥1200,圆满完成
【LOGO设计】服务标志商标logo设计,416人,1人,¥1000,圆满完成
【详情页设计】【蛹士电商】网店详情页设计 拼多多详情页设计,516人,1人,¥36865,圆满完成
【H5设计】小程序设计,892人,1人,¥300,圆满完成
【LOGO设计】logo设计LOGO设计企业商标原创,401人,1人,¥17000,圆满完成
【排版设计】高端印刷,276人,1人,¥4850,圆满完成
【插画设计】关于城市徽章与城堡的前期任务,844人,1人,¥500,圆满完成
【卡通形象设计】20张吉祥物的动作延伸绘制（ai格式）矢量,862人,1人,¥3000,圆满完成
【店铺装修】【电商设计】电商设计整店装修天猫淘宝京东商城,159人,1人,¥11000,圆满完成
【LOGO设计】设计一款我们公司专属logo,346人,1人,¥1000,圆满完成
【LOGO设计】狐臭露设计,226人,1人,¥49987,圆满完成
【VI设计】思秘密小程序,288人,1人,¥42000,圆满完成
,,,,
【LOGO设计】总监套餐下单链接,313人,1人,¥20000,圆满完成
【包装设计】饮料包装口味瓶型延伸设计,439人,1人,¥100,圆满完成
【LOGO设计】本草蜡染,125人,1人,¥6001,圆满完成
【宣传单设计】RORU服饰春季大促销宣传海报设计,302人,1人,¥1970,圆满完成
【包装设计】包装盒设计,297人,1人,¥3800,圆满完成
【H5设计】企业网站设计,583人,1人,¥4500,圆满完成
【卡通形象设计】微信表情设计,1317人,1人,¥500,圆满完成
【详情页设计】两个产品的详情页修图共20张,775人,1人,¥1200,圆满完成
【其他工业设计】家电外观设计,1901人,1人,¥40000,圆满完成
【宣传册设计】物料设计,570人,1人,¥45000,圆满完成
【海报设计】产品海报设计,867人,1人,¥100,圆满完成
【LOGO设计】公司logo设计，已有方案,294人,1人,¥500,圆满完成
【宣传单设计】张亮麻辣烫新店开业宣传海报设计,503人,1人,¥1980,圆满完成
【LOGO设计】眼罩外包装生产,143人,1人,¥48888,圆满完成
【包装设计】系列包装设计,154人,1人,¥3800,圆满完成
【LOGO设计】logo设计LOGO设计企业商标原创,246人,1人,¥30000,圆满完成
【彩页设计】宣传画册排版设计,370人,1人,¥3500,圆满完成
【VI设计】奶茶品牌vi設計,423人,1人,¥8800,圆满完成
【LOGO设计】LOGO设计,94人,1人,¥1680,圆满完成
【交互设计】网站维护,768人,1人,¥1500,圆满完成
【宣传册设计】画册设计,245人,1人,¥4999,圆满完成
【产品外观设计】花园雕塑设计项目预付款,1414人,1人,¥18000,圆满完成
【包装设计】食品外包装盒子包装设计,671人,1人,¥4500,圆满完成
【LOGO设计】韩妃 hf120红膜,241人,1人,¥29999,圆满完成
【LOGO设计】韩妃 花萃包装设计,254人,1人,¥20000,圆满完成
【家电数码】小家电外观设计第七期,1912人,1人,¥18000,圆满完成
【VI设计】小程序,226人,1人,¥50000,圆满完成
【包装设计】从品牌到包装,323人,1人,¥5000,圆满完成
【VI设计】品牌设计VI,360人,1人,¥5000,圆满完成
【LOGO设计】logo设计,259人,1人,¥18600,圆满完成
,,,,
【LOGO设计】logo设计,188人,1人,¥28650,圆满完成
【机械设备】空气净化器产品开发设计,2301人,1人,¥16000,圆满完成
【机械设备】空气净化器产品开发设计,1798人,1人,¥24000,圆满完成
【机械设备】空气净化器产品开发设计,2116人,1人,¥40000,圆满完成
【LOGO设计】总监套餐下单链接,182人,1人,¥10000,圆满完成
【LOGO设计】VI设计,203人,1人,¥27400,圆满完成
【LOGO设计】手工皮具类LOGO设计,361人,1人,¥1000,圆满完成
【店铺装修】tb设计包月,289人,1人,¥20000,圆满完成
【LOGO设计】品牌全案,89人,1人,¥2700,圆满完成
【动漫角色设计】紫翼海龙兽动漫形象设计,362人,1人,¥1980,圆满完成
【排版设计】企业期刊排版设计,241人,1人,¥4800,圆满完成
【排版设计】高端印刷,128人,1人,¥4600,圆满完成
【店铺装修】logo设计 原创 商标设计公司企业品牌图标字体,462人,1人,¥28543,圆满完成
【店铺装修】【蛹士电商】淘宝天猫网店铺PC移动无线端整店,289人,1人,¥36500,圆满完成
【PPT设计】路演画册设计,482人,1人,¥3000,圆满完成
【宣传册设计】路演画册,372人,1人,¥5000,圆满完成
【包装设计】电子零售系统开发,159人,1人,¥19900,圆满完成
【包装设计】推广APP开发,201人,1人,¥4900,圆满完成
【LOGO设计】LOGO设计,104人,1人,¥3100,圆满完成
【LOGO设计】logo设计,159人,1人,¥1500,圆满完成
【LOGO设计】杀菌消毒液,371人,1人,¥49988,圆满完成
【LOGO设计】logo设计（可注册商标）,216人,1人,¥899,圆满完成
【书籍装帧】书籍装帧第六期尾款,576人,1人,¥5000,圆满完成
【书籍装帧】书籍装帧第五期,567人,1人,¥5000,圆满完成
【排版设计】亚麻油品牌设计,289人,1人,¥3800,圆满完成
【宣传单设计】五常大米直营店开业宣传海报设计,450人,1人,¥1970,圆满完成
【LOGO设计】商标设计,193人,1人,¥5000,圆满完成
【LOGO设计】酒店vis,314人,1人,¥4996,圆满完成
【海报设计】海报设计,502人,1人,¥4880,圆满完成
【海报设计】做一个水产品公司logo,260人,1人,¥260,圆满完成
,,,,
【吉祥物设计】logo设计+VI23项基础+18项应用,778人,1人,¥27102,圆满完成
【吉祥物设计】公司吉祥物设计,965人,1人,¥37501,圆满完成
【LOGO设计】棘固体饮料设计,312人,1人,¥49993,圆满完成
【其他宣传品设计】折页设计,775人,1人,¥4950,圆满完成
【LOGO设计】LOGO设计,182人,1人,¥1800,圆满完成
【LOGO设计】LOGO设计,76人,1人,¥1200,圆满完成
【其他宣传品设计】乐乐直播课堂宣传海报设计,561人,1人,¥1980,圆满完成
【包装设计】任务发布集资app,310人,1人,¥17100,圆满完成
【PPT设计】ppt介绍,1607人,1人,¥3000,圆满完成
【产品外观设计】医院环境设备建模设计项目定金,1475人,1人,¥11000,圆满完成
【产品外观设计】雕塑建模设计项目尾款,1870人,1人,¥15000,圆满完成
【手提袋设计】手提袋设计,707人,1人,¥4930,圆满完成
【包装设计】包装盒设计,241人,1人,¥4600,圆满完成
【手提袋设计】手提袋设计,880人,1人,¥4800,圆满完成
【彩页设计】葡萄酒海报设计,843人,1人,¥300,圆满完成
【书籍装帧】杂志期刊装帧设计,591人,1人,¥7560,圆满完成
【店铺装修】【电商设计】电商设计整店装修天猫淘宝京东商城,258人,1人,¥40000,圆满完成
【LOGO设计】LOGO设计,291人,1人,¥1500,圆满完成
【包装设计】包装设计,262人,1人,¥2200,圆满完成
【LOGO设计】LOGO设计,94人,1人,¥1200,圆满完成
【LOGO设计】小柯品牌设计,426人,1人,¥49869,圆满完成
【VI设计】制作一套大米的包装VI设计,301人,1人,¥35000,圆满完成
【包装设计】包装设计,302人,1人,¥9800,圆满完成
【产品外观设计】机器人打包设计项目,1383人,1人,¥25000,圆满完成
【产品外观设计】家具产品外观设计一期,1694人,1人,¥43000,圆满完成
【宣传单设计】兴隆生鲜超市开业宣传单设计,708人,1人,¥1970,圆满完成
【LOGO设计】標志設計,107人,1人,¥1980,圆满完成
【产品外观设计】设计儿童电动车,1373人,1人,¥23845,圆满完成
【LOGO设计】logo设计,319人,1人,¥498,圆满完成
【排版设计】高端印刷,274人,1人,¥9900,圆满完成
,,,,
【LOGO设计】新企业LOGO设计,162人,1人,¥2980,圆满完成
【LOGO设计】logo设计,96人,1人,¥5000,圆满完成
【包装设计】包装盒设计,244人,1人,¥1000,圆满完成
【喷绘写真制作】求画面和附件一模一样的设计，尺寸大小：2米X1.2米。（,1474人,1人,¥680,圆满完成
【包装设计】海外相机APP开发,288人,1人,¥33700,圆满完成
【LOGO设计】酒店vis,165人,1人,¥5999,圆满完成
【LOGO设计】蓝威设计,297人,1人,¥49998,圆满完成
【广告设计】宣传画报设主计,304人,1人,¥5200,圆满完成
【海报设计】酵素产品PPT与海报一张,577人,1人,¥130,圆满完成
【标签设计】设计一款清洁剂标签,977人,1人,¥300,圆满完成
【VI设计】餐饮VI设计,255人,1人,¥8000,圆满完成
【VI设计】公司LOGO及VI设计,248人,1人,¥6600,圆满完成
【LOGO设计】LOGO设计,222人,1人,¥9880,圆满完成
【店铺装修】店铺装修和LOGO设计,507人,1人,¥1200,圆满完成
【其他宣传品设计】新龙药店开业宣传海报设计,518人,1人,¥1980,圆满完成
【LOGO设计】总监套餐下单链接,164人,1人,¥9998,圆满完成
【LOGO设计】医用面膜设计,152人,1人,¥6012,圆满完成
【PPT设计】一套乳铁蛋白PPT,263人,1人,¥110,圆满完成
【LOGO设计】口罩包装,361人,1人,¥49610,圆满完成
【海报设计】设计一个系列的海报,547人,1人,¥7200,圆满完成
【排版设计】产品使用说明书排版设计,386人,1人,¥2800,圆满完成
【LOGO设计】logo设计,164人,1人,¥10200,圆满完成
【LOGO设计】logo设计,202人,1人,¥36330,圆满完成
【其他设计】商业模式卡牌,537人,1人,¥1000,圆满完成
【海报设计】10张海报设计,1130人,1人,¥13000,圆满完成
【宣传单设计】EVGE,495人,1人,¥1200,圆满完成
【包装设计】食品包装设计,322人,1人,¥3500,圆满完成
【LOGO设计】食品行业LOGO设计,206人,1人,¥1980,圆满完成
【VI设计】直播开发,264人,1人,¥30000,圆满完成
【详情页设计】ui设计,165人,1人,¥13000,圆满完成
,,,,
【海报设计】海报设计,476人,1人,¥1000,圆满完成
【LOGO设计】总监套餐下单链接,244人,1人,¥20000,圆满完成
【包装设计】包装设计,184人,1人,¥9999,圆满完成
【排版设计】雜誌冊設計排版,145人,1人,¥8600,圆满完成
【详情页设计】【蛹士电商】网店详情页设计 拼多多详情页设计,340人,1人,¥27500,圆满完成
【详情页设计】【蛹士电商】网店详情页设计 拼多多详情页设计,375人,1人,¥36560,圆满完成
【彩页设计】宣传单设计,612人,1人,¥300,圆满完成
【LOGO设计】公司LOGO设计,124人,1人,¥4888,圆满完成
【其他宣传品设计】全民共抗疫情宣传海报设计,752人,1人,¥1970,圆满完成
【LOGO设计】三星盒设计,123人,1人,¥9949,圆满完成
【LOGO设计】logo设计LOGO设计企业商标原创,178人,1人,¥8067,圆满完成
【LOGO设计】logo设计LOGO设计企业商标原创,268人,1人,¥28000,圆满完成
【LOGO设计】logo设计LOGO设计企业商标原创,262人,1人,¥38800,圆满完成
【书籍装帧】散文集排版设计,638人,1人,¥3500,圆满完成
【LOGO设计】牛人设计总监 全网中标最高设计师操刀,190人,1人,¥24847,圆满完成
【书籍装帧】高端纪念画册装帧设计排版设计,686人,1人,¥6336,圆满完成
【产品外观设计】设计机器狗,1451人,1人,¥4859,圆满完成
【包装设计】包装设计,169人,1人,¥9880,圆满完成
【LOGO设计】美容品牌LOGO设计,287人,1人,¥2688,圆满完成
【LOGO设计】民宿企业logo与名片设计,762人,1人,¥1250,圆满完成
【H5设计】h5页面开发,654人,1人,¥10000,圆满完成
【动漫角色设计】豚鼠形象设计,712人,1人,¥200,圆满完成
【VI设计】餐饮VI 设计,244人,1人,¥40012,圆满完成
【VI设计】酒店VI 一套,293人,1人,¥40000,圆满完成
【卡通形象设计】卡通形象设计,928人,1人,¥1200,圆满完成
【H5设计】在线学习web和app设计,573人,1人,¥9000,圆满完成
【LOGO设计】logo设计,373人,1人,¥31800,圆满完成
【宣传单设计】辣婆婆川菜馆春节促销宣传单设计,334人,1人,¥1970,圆满完成
【主图设计】淘宝整店装修,830人,1人,¥799,圆满完成
【LOGO设计】总监套餐下单链接,228人,1人,¥20000,圆满完成
,,,,
【海报设计】海报设计,300人,1人,¥500,圆满完成
【VI设计】酒店VIS视觉系统,266人,1人,¥8800,圆满完成
【产品外观设计】家居实木床垫设计项目,1457人,1人,¥9500,圆满完成
【其他宣传品设计】家博城年后招租广告设计,551人,1人,¥1980,圆满完成
