Designer_ID,Deviation,Year,Volume,Entropy,Gini
1号品牌设计,0.422861733415304,2024,1.9999999999999996,10.304406199384928,0.2977125337981507
@烨名珠@,0.8531675567488014,2024,1.0,8.07444930717696,0.113431338519618
ALEX设计,0.9180533621249869,2024,0.9999999999999998,4.857980995127572,7.656710292611652e-18
B1068632,0.9226844900353997,2024,1.0000000000000002,6.527750345173054,0.0205998848980194
B1068818,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1068990,0.9226844900353997,2024,1.0000000000000002,6.527750345173054,0.0205998848980194
B1069269,0.422861733415304,2024,0.9999999999999996,10.304406199384928,0.2977122247731822
B1069276,0.6686451979544226,2024,1.0,7.889422744374333,0.1234756560877367
B1069279,0.34610450772490386,2024,1.0,9.638589758467312,0.3188364276335717
B1069296,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1069375,0.8642631462121338,2024,0.9999999999999998,6.1292830169449655,0.0
B1069394,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1069423,0.7762562749349298,2024,1.0,6.993530431666635,0.1189689800966818
B1069436,0.8743524121914241,2024,1.0,6.527823859898304,0.1750393525748048
B1069459,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1069473,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1069656,0.422861733415304,2024,0.9999999999999996,10.304406199384928,0.2977122247731822
B1069701,0.8866633010683682,2024,1.0,7.109700542914597,0.0730041042757218
B1069704,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1069988,0.8866633010683682,2024,1.0,7.109700542914597,0.0730041042757218
B1070039,0.9012635146923642,2024,1.0,3.321928094887362,0.0
B1070077,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1070087,0.9582530797771344,2024,1.0,3.0,0.0
B1070088,0.9582530797771344,2024,1.0,3.0,0.0
B1070154,0.9582530797771344,2024,1.0,3.0,0.0
B1070175,0.9582530797771344,2024,1.0,3.0,0.0
B1070193,0.6686451979544226,2024,1.0,7.889422744374333,0.1234756560877367
B1070255,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1070297,0.8244747774339101,2024,1.0,8.434558131875862,0.0559270950058331
B1070344,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1070369,0.422861733415304,2024,0.9999999999999996,10.304406199384928,0.2977122247731822
B1070449,0.9559439510968083,2024,0.9999999999999998,3.807354922057606,1.5860328701171916e-17
B1070501,0.9226844900353997,2024,1.0000000000000002,6.527750345173054,0.0205998848980194
B1070535,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1070649,0.9682546044592326,2024,0.9999999999999998,3.807354922057606,1.5860328701171916e-17
B1070685,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1070786,0.34610450772490386,2024,1.0,9.638589758467312,0.3188364276335717
B1070819,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1070924,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1071198,0.8012885955587872,2024,1.0,6.493765755906954,0.0405344165606887
B1071359,0.6725915096421285,2024,1.0,7.243456547944493,0.1867532140714342
B1071371,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1071395,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1071423,0.8642631462121338,2024,0.9999999999999998,6.1292830169449655,0.0
B1071560,0.9559439510968083,2024,0.9999999999999998,3.807354922057606,1.5860328701171916e-17
B1071760,0.422861733415304,2024,0.9999999999999996,10.304406199384928,0.2977122247731822
B1071806,0.8866633010683682,2024,1.0,7.109700542914597,0.0730041042757218
B1072277,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1072282,0.8642631462121338,2024,0.9999999999999998,6.1292830169449655,0.0
B1072590,0.90936939995008,2024,1.0,4.584962500721156,0.0
B1072594,0.8221876930963727,2024,1.0,5.443599367586925,0.1940104073541671
B1072918,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1072987,0.34610450772490386,2024,1.0,9.638589758467312,0.3188364276335717
B1073002,0.6065401323412318,2024,1.0000000000000002,8.99953367567666,0.2376911544371967
B1073027,0.9055324344027197,2024,1.0000000000000002,5.512035660188275,0.0208140600971323
B1073215,0.4743965317647586,2024,1.0,9.681160295857074,0.2992505856664785
B1073328,0.6725915096421285,2024,1.0,7.243456547944493,0.1867532140714342
B1073475,0.90936939995008,2024,1.0,4.584962500721156,0.0
