Source,Target,Type
A977397,书籍装帧,发布
B977397,书籍装帧,完成
A977402,响应式网站,发布
B977402,响应式网站,完成
A977454,营销推广软文,发布
B977454,营销推广软文,完成
A977455,采集工具,发布
B977455,采集工具,完成
A977536,其他网站,发布
B977536,其他网站,完成
A977537,其他管理软件,发布
B977537,其他管理软件,完成
A977628,手游开发,发布
B977628,手游开发,完成
A977714,门户网站,发布
B977714,门户网站,完成
A977761,小程序开发,发布
B977761,小程序开发,完成
A977808,LOGO设计,发布
B977808,LOGO设计,完成
A977830,门户网站,发布
B977830,门户网站,完成
A977900,APP开发,发布
B977900,APP开发,完成
A977928,微信开发,发布
B977928,微信开发,完成
A977935,小程序开发,发布
B977935,小程序开发,完成
A977949,门户网站,发布
B977949,门户网站,完成
A978002,小程序开发,发布
B978002,小程序开发,完成
A978012,APP开发,发布
B978012,APP开发,完成
A978039,产品推广,发布
B978039,产品推广,完成
A978050,其他软件开发,发布
B978050,其他软件开发,完成
A978181,排版设计,发布
B978181,排版设计,完成
A978329,H5开发,发布
B978329,H5开发,完成
A978486,其他软件开发,发布
B978486,其他软件开发,完成
A978510,商城建设,发布
B978510,商城建设,完成
A978562,宣传策划,发布
B978562,宣传策划,完成
A978567,小程序开发,发布
B978567,小程序开发,完成
A978626,小程序开发,发布
B978626,小程序开发,完成
A978646,微信推广,发布
B978646,微信推广,完成
A978707,网站二次开发,发布
B978707,网站二次开发,完成
A978750,宣传册设计,发布
B978750,宣传册设计,完成
A978821,H5开发,发布
B978821,H5开发,完成
A978875,门户网站,发布
B978875,门户网站,完成
A978883,VI设计,发布
B978883,VI设计,完成
A978944,彩页设计,发布
B978944,彩页设计,完成
A979008,园林设计,发布
B979008,园林设计,完成
A979042,软件UI设计,发布
B979042,软件UI设计,完成
A979296,APP开发,发布
B979296,APP开发,完成
A979447,企业官网,发布
B979447,企业官网,完成
A979481,其他软件开发,发布
B979481,其他软件开发,完成
A979673,企业官网,发布
B979673,企业官网,完成
A979722,软件UI设计,发布
B979722,软件UI设计,完成
A979747,微信开发,发布
B979747,微信开发,完成
A979839,VI设计,发布
B979839,VI设计,完成
A979873,LOGO设计,发布
B979873,LOGO设计,完成
A979917,LOGO设计,发布
B979917,LOGO设计,完成
A979952,动漫角色设计,发布
B979952,动漫角色设计,完成
A979972,餐饮,发布
B979972,餐饮,完成
A979998,门户网站,发布
B979998,门户网站,完成
A980115,LOGO设计,发布
B980115,LOGO设计,完成
A980116,门户网站,发布
B980116,门户网站,完成
A980187,其他软件开发,发布
B980187,其他软件开发,完成
A980191,企业宣传片,发布
B980191,企业宣传片,完成
A980312,H5开发,发布
B980312,H5开发,完成
A980389,产品外观设计,发布
B980389,产品外观设计,完成
A980471,VI设计,发布
B980471,VI设计,完成
A980547,LOGO设计,发布
B980547,LOGO设计,完成
A980638,网站二次开发,发布
B980638,网站二次开发,完成
A980696,其他软件开发,发布
B980696,其他软件开发,完成
A980923,其他管理软件,发布
B980923,其他管理软件,完成
A980989,APP开发,发布
B980989,APP开发,完成
A980993,企业官网,发布
B980993,企业官网,完成
A981016,企业官网,发布
B981016,企业官网,完成
A981086,H5设计,发布
B981086,H5设计,完成
A981087,排版设计,发布
B981087,排版设计,完成
A981181,运维服务,发布
B981181,运维服务,完成
A981189,运维服务,发布
B981189,运维服务,完成
A981190,运维服务,发布
B981190,运维服务,完成
A981277,小程序开发,发布
B981277,小程序开发,完成
A981399,小程序开发,发布
B981399,小程序开发,完成
A981406,LOGO设计,发布
B981406,LOGO设计,完成
A981483,排版设计,发布
B981483,排版设计,完成
A981622,专业代笔,发布
B981622,专业代笔,完成
A981706,LOGO设计,发布
B981706,LOGO设计,完成
A981716,其他软件开发,发布
B981716,其他软件开发,完成
A981757,小程序开发,发布
B981757,小程序开发,完成
A981763,画册设计,发布
B981763,画册设计,完成
A981836,嵌入式软件,发布
B981836,嵌入式软件,完成
A981934,包装设计,发布
B981934,包装设计,完成
A981947,游戏建模,发布
B981947,游戏建模,完成
A982021,排版设计,发布
B982021,排版设计,完成
A982032,海报设计,发布
B982032,海报设计,完成
A982075,LOGO设计,发布
B982075,LOGO设计,完成
A982089,APP开发,发布
B982089,APP开发,完成
A982170,其他网站,发布
B982170,其他网站,完成
A982180,商城建设,发布
B982180,商城建设,完成
A982297,排版设计,发布
B982297,排版设计,完成
A982393,书籍装帧,发布
B982393,书籍装帧,完成
A982400,企业官网,发布
B982400,企业官网,完成
A982409,图像识别,发布
B982409,图像识别,完成
A982486,包装设计,发布
B982486,包装设计,完成
A982496,商业建筑,发布
B982496,商业建筑,完成
A982643,展台展厅,发布
B982643,展台展厅,完成
A982709,LOGO设计,发布
B982709,LOGO设计,完成
A982773,APP开发,发布
B982773,APP开发,完成
A982796,企业官网,发布
B982796,企业官网,完成
A982800,产品卖点,发布
B982800,产品卖点,完成
A982834,VI设计,发布
B982834,VI设计,完成
A982994,软件UI设计,发布
B982994,软件UI设计,完成
A983005,APP开发,发布
B983005,APP开发,完成
A983035,APP开发,发布
B983035,APP开发,完成
A983050,手机网站,发布
B983050,手机网站,完成
A983071,小程序开发,发布
B983071,小程序开发,完成
A983141,其他软件开发,发布
B983141,其他软件开发,完成
A983142,采集工具,发布
B983142,采集工具,完成
A983214,定制开发,发布
B983214,定制开发,完成
A983238,施工图设计,发布
B983238,施工图设计,完成
A983428,APP开发,发布
B983428,APP开发,完成
A983430,APP开发,发布
B983430,APP开发,完成
A983496,品牌策划,发布
B983496,品牌策划,完成
A983743,英语,发布
B983743,英语,完成
A983818,APP开发,发布
B983818,APP开发,完成
A983870,APP开发,发布
B983870,APP开发,完成
A983876,APP开发,发布
B983876,APP开发,完成
A983885,VI设计,发布
B983885,VI设计,完成
A983888,礼品设计,发布
B983888,礼品设计,完成
A983946,小程序开发,发布
B983946,小程序开发,完成
A983947,其他软件开发,发布
B983947,其他软件开发,完成
A984051,其他软件开发,发布
B984051,其他软件开发,完成
A984169,LOGO设计,发布
B984169,LOGO设计,完成
A984184,LOGO设计,发布
B984184,LOGO设计,完成
A984356,彩页设计,发布
B984356,彩页设计,完成
A984506,APP开发,发布
B984506,APP开发,完成
A984633,彩页设计,发布
B984633,彩页设计,完成
A984833,画册设计,发布
B984833,画册设计,完成
A985041,OA系统,发布
B985041,OA系统,完成
A985126,其他软件开发,发布
B985126,其他软件开发,完成
A985134,商城建设,发布
B985134,商城建设,完成
A985145,其他软件开发,发布
B985145,其他软件开发,完成
A985237,书籍装帧,发布
B985237,书籍装帧,完成
A985250,企业官网,发布
B985250,企业官网,完成
A985255,APP开发,发布
B985255,APP开发,完成
A985321,商城建设,发布
B985321,商城建设,完成
A985329,其他软件开发,发布
B985329,其他软件开发,完成
A985334,LOGO设计,发布
B985334,LOGO设计,完成
A985368,园林设计,发布
B985368,园林设计,完成
A985382,APP开发,发布
B985382,APP开发,完成
A985428,手机网站,发布
B985428,手机网站,完成
A985530,排版设计,发布
B985530,排版设计,完成
A985621,定制开发,发布
B985621,定制开发,完成
A985637,书籍装帧,发布
B985637,书籍装帧,完成
A985645,包装设计,发布
B985645,包装设计,完成
A985667,其他软件开发,发布
B985667,其他软件开发,完成
A985822,包装设计,发布
B985822,包装设计,完成
A985859,其他软件开发,发布
B985859,其他软件开发,完成
A985882,金融,发布
B985882,金融,完成
A985892,网站UI设计,发布
B985892,网站UI设计,完成
A985901,定制开发,发布
B985901,定制开发,完成
A985975,展台展厅,发布
B985975,展台展厅,完成
A986004,VI设计,发布
B986004,VI设计,完成
A986064,VI设计,发布
B986064,VI设计,完成
A986130,宣传册设计,发布
B986130,宣传册设计,完成
A986141,APP界面设计,发布
B986141,APP界面设计,完成
A986158,LOGO设计,发布
B986158,LOGO设计,完成
A986197,小程序开发,发布
B986197,小程序开发,完成
A986240,微信开发,发布
B986240,微信开发,完成
A986250,其他软件开发,发布
B986250,其他软件开发,完成
A986401,LOGO设计,发布
B986401,LOGO设计,完成
A986408,展台展厅,发布
B986408,展台展厅,完成
A986421,视频定制,发布
B986421,视频定制,完成
A986471,排版设计,发布
B986471,排版设计,完成
A986571,网站二次开发,发布
B986571,网站二次开发,完成
A986596,书籍装帧,发布
B986596,书籍装帧,完成
A986621,项目管理软件,发布
B986621,项目管理软件,完成
A986640,商业提案,发布
B986640,商业提案,完成
A986672,其他软件开发,发布
B986672,其他软件开发,完成
A986702,LOGO设计,发布
B986702,LOGO设计,完成
A986723,脚本开发,发布
B986723,脚本开发,完成
A986788,公共场所,发布
B986788,公共场所,完成
A986790,娱乐休闲,发布
B986790,娱乐休闲,完成
A986796,定制开发,发布
B986796,定制开发,完成
A986826,定制开发,发布
B986826,定制开发,完成
A986849,其他软件开发,发布
B986849,其他软件开发,完成
A986975,APP开发,发布
B986975,APP开发,完成
A986987,网站UI设计,发布
B986987,网站UI设计,完成
A987002,后期制作,发布
B987002,后期制作,完成
A987064,办公空间,发布
B987064,办公空间,完成
A987066,展台展厅,发布
B987066,展台展厅,完成
A987067,餐饮饮食,发布
B987067,餐饮饮食,完成
A987114,定制开发,发布
B987114,定制开发,完成
A987123,小程序开发,发布
B987123,小程序开发,完成
A987133,定制开发,发布
B987133,定制开发,完成
A987366,APP开发,发布
B987366,APP开发,完成
A987471,主图设计,发布
B987471,主图设计,完成
A987497,海报设计,发布
B987497,海报设计,完成
A987513,前端开发,发布
B987513,前端开发,完成
A987581,APP开发,发布
B987581,APP开发,完成
A987684,VI设计,发布
B987684,VI设计,完成
A987689,LOGO设计,发布
B987689,LOGO设计,完成
A988046,网站二次开发,发布
B988046,网站二次开发,完成
A988106,主图设计,发布
B988106,主图设计,完成
A988181,小程序开发,发布
B988181,小程序开发,完成
A988182,LOGO设计,发布
B988182,LOGO设计,完成
A988394,LOGO设计,发布
B988394,LOGO设计,完成
A988511,LOGO设计,发布
B988511,LOGO设计,完成
A988552,APP开发,发布
B988552,APP开发,完成
A988587,响应式网站,发布
B988587,响应式网站,完成
A988647,其他软件开发,发布
B988647,其他软件开发,完成
A988715,图像识别,发布
B988715,图像识别,完成
A988767,排版设计,发布
B988767,排版设计,完成
A988803,LOGO设计,发布
B988803,LOGO设计,完成
A989114,主图设计,发布
B989114,主图设计,完成
A989266,书籍装帧,发布
B989266,书籍装帧,完成
A989269,包装设计,发布
B989269,包装设计,完成
A989388,企业官网,发布
B989388,企业官网,完成
A989471,书籍装帧,发布
B989471,书籍装帧,完成
A989498,园林设计,发布
B989498,园林设计,完成
A989906,包装设计,发布
B989906,包装设计,完成
A989941,定制开发,发布
B989941,定制开发,完成
A990083,运维服务,发布
B990083,运维服务,完成
A990084,运维服务,发布
B990084,运维服务,完成
A990127,LOGO设计,发布
B990127,LOGO设计,完成
A990142,其他软件开发,发布
B990142,其他软件开发,完成
A990153,海报设计,发布
B990153,海报设计,完成
A990164,其他工具软件,发布
B990164,其他工具软件,完成
A990216,小程序开发,发布
B990216,小程序开发,完成
A990389,其他软件开发,发布
B990389,其他软件开发,完成
A990419,手机网站,发布
B990419,手机网站,完成
A990462,APP开发,发布
B990462,APP开发,完成
A990496,产品外观设计,发布
B990496,产品外观设计,完成
A990556,画册设计,发布
B990556,画册设计,完成
A990610,其他工具软件,发布
B990610,其他工具软件,完成
A990654,响应式网站,发布
B990654,响应式网站,完成
A990831,商城建设,发布
B990831,商城建设,完成
A990877,APP开发,发布
B990877,APP开发,完成
A990880,小程序开发,发布
B990880,小程序开发,完成
A990918,其他软件开发,发布
B990918,其他软件开发,完成
A990957,VI设计,发布
B990957,VI设计,完成
A991138,APP开发,发布
B991138,APP开发,完成
A991181,画册设计,发布
B991181,画册设计,完成
A991213,公众号推广,发布
B991213,公众号推广,完成
A991231,APP开发,发布
B991231,APP开发,完成
A991248,包装设计,发布
B991248,包装设计,完成
A991267,网站UI设计,发布
B991267,网站UI设计,完成
A991285,PPT设计,发布
B991285,PPT设计,完成
A991352,彩页设计,发布
B991352,彩页设计,完成
A991400,定制开发,发布
B991400,定制开发,完成
A991472,前端开发,发布
B991472,前端开发,完成
A991535,网站UI设计,发布
B991535,网站UI设计,完成
A991667,详情页设计,发布
B991667,详情页设计,完成
A991671,海报设计,发布
B991671,海报设计,完成
A991813,H5设计,发布
B991813,H5设计,完成
A991826,VI设计,发布
B991826,VI设计,完成
A991899,APP开发,发布
B991899,APP开发,完成
A992016,后期制作,发布
B992016,后期制作,完成
A992152,定制开发,发布
B992152,定制开发,完成
A992180,定制开发,发布
B992180,定制开发,完成
A992192,产品外观设计,发布
B992192,产品外观设计,完成
A992214,手机网站,发布
B992214,手机网站,完成
A992244,网站二次开发,发布
B992244,网站二次开发,完成
A992249,网站二次开发,发布
B992249,网站二次开发,完成
A992305,彩页设计,发布
B992305,彩页设计,完成
A992406,LOGO设计,发布
B992406,LOGO设计,完成
A992562,小程序开发,发布
B992562,小程序开发,完成
A992577,响应式网站,发布
B992577,响应式网站,完成
A992605,小程序开发,发布
B992605,小程序开发,完成
A992707,软件UI设计,发布
B992707,软件UI设计,完成
A992879,LOGO设计,发布
B992879,LOGO设计,完成
A992977,APP开发,发布
B992977,APP开发,完成
A993076,LOGO设计,发布
B993076,LOGO设计,完成
A993259,APP开发,发布
B993259,APP开发,完成
A993274,包装设计,发布
B993274,包装设计,完成
A993508,详情页设计,发布
B993508,详情页设计,完成
A993542,企业宣传片,发布
B993542,企业宣传片,完成
A993604,网站UI设计,发布
B993604,网站UI设计,完成
A993606,网站UI设计,发布
B993606,网站UI设计,完成
A993699,其他工具软件,发布
