designer,year,ability,order_count,total_amount,designer_idx,ability_idx
*一米阳光工作室*,2020,LOGO设计,7,2100.0,1,11
*一米阳光工作室*,2020,包装设计,1,680.0,1,73
*一米阳光工作室*,2020,宣传单设计,1,200.0,1,102
*一米阳光工作室*,2020,排版设计,1,200.0,1,138
*一米阳光工作室*,2020,海报设计,2,400.0,1,169
07品牌策划,2020,LOGO设计,2,1500.0,2,11
07品牌策划,2020,包装设计,1,500.0,2,73
1号品牌设计,2020,LOGO设计,18,11720.0,3,11
365设计,2020,产品外观设计,4,2200.0,4,31
47号设计工作室,2020,LOGO设计,6,2100.0,5,11
47号设计工作室,2020,海报设计,1,800.0,5,169
6T传媒,2020,包装设计,1,3000.0,6,73
@烨名珠@,2020,公司起名,1,200.0,7,42
@烨名珠@,2020,品牌起名,3,550.0,7,87
A7ingOba,2020,LOGO设计,1,500.0,8,11
ALEX设计,2020,详情页设计,1,600.0,9,211
AQI柒设计工作室,2020,LOGO设计,2,900.0,10,11
AYHL设计,2020,效果图设计,2,600.0,11,140
Alt晓彩,2020,品牌起名,1,200.0,12,87
Aqun设计,2020,产品外观设计,1,1000.0,13,31
Aqun设计,2020,包装设计,1,500.0,13,73
Aqun设计,2020,封面设计,1,300.0,13,106
A【免费设计深入咨询】【专业外观|结构|电控|手板|批量生产】,2020,产品外观设计,1,4750.0,14,31
A新萝卜-最实惠,2020,服装设计,1,1000.0,15,159
A设计D木子,2020,海报设计,1,400.0,16,169
B827365,2020,小程序开发,1,30000.0,17,107
B827386,2020,APP开发,1,31000.0,18,3
B827392,2020,其他家装服务,1,41000.0,19,53
B827395,2020,APP开发,1,14000.0,20,3
B827399,2020,小程序开发,1,20000.0,21,107
B827401,2020,插画设计,1,2400.0,22,139
B827404,2020,插画设计,1,2400.0,23,139
B827409,2020,APP开发,1,31898.0,24,3
B827418,2020,小程序开发,1,10000.0,25,107
B827420,2020,卡通形象设计,1,2400.0,26,76
B827422,2020,漫画设计,1,2400.0,27,173
B827430,2020,APP开发,1,31000.0,28,3
B827492,2020,APP开发,1,32500.0,29,3
B827498,2020,小程序开发,1,23980.0,30,107
B827499,2020,其他软件开发,1,1748.0,31,61
B827506,2020,APP开发,1,30000.0,32,3
