K,Inertia,Silhouette
1,293939.9999999998,
2,160194.81095844097,0.4091927815426815
3,115512.02583867853,0.3853294869373393
4,83443.14590498336,0.3881324677395794
5,70342.09822529301,0.35846826256416786
6,60895.1373083629,0.35309444391111194
7,53662.156823181154,0.3517405306338763
8,48664.43116829025,0.33176787445152645
9,44212.04826791555,0.3361946195196427
10,40008.90224057679,0.3327942659106209
